data_emissao,tipo,municipio,agravo_alvo,epi_year,epi_week,prob,horizon_weeks,desfecho,confirmado
2026-08-04,risco,CUIABA,baciloscopia,2026,15,0.9105,2,sem_confirmacao,0
2026-08-04,risco,CACERES,chikungunya,2026,14,0.8998,2,sem_confirmacao,0
2026-08-04,risco,CACERES,zika,2026,14,0.889,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,meningite_bacteriana_biologia_molecular,2026,20,0.8659,2,sem_confirmacao,0
2026-08-04,risco,NOVA SANTA HELENA,chikungunya,2025,24,0.8636,2,sem_confirmacao,0
2026-08-04,risco,SORRISO,hepatite_b_hbv,2025,32,0.8548,2,sem_confirmacao,0
2026-08-04,risco,VERA,chikungunya,2025,29,0.8374,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,hepatite_b_hbv,2026,17,0.8302,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,baciloscopia,2025,35,0.8053,2,sem_confirmacao,0
2026-08-04,risco,GENERAL CARNEIRO,chikungunya,2025,11,0.794,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,citomegalovirus_igg,2025,33,0.781,2,sem_confirmacao,0
2026-08-04,risco,LAMBARI D''OESTE,chikungunya,2025,27,0.7734,2,sem_confirmacao,0
2026-08-04,risco,POXOREO,chikungunya,2025,22,0.7611,2,sem_confirmacao,0
2026-08-04,risco,IPIRANGA DO NORTE,chikungunya,2025,34,0.76,2,sem_confirmacao,0
2026-08-04,risco,CAMPOS DE JULIO,chikungunya,2025,29,0.7576,2,sem_confirmacao,0
2026-08-04,risco,MIRASSOL D''OESTE,chikungunya,2025,34,0.7503,2,sem_confirmacao,0
2026-08-04,risco,SORRISO,chikungunya,2025,35,0.7261,2,sem_confirmacao,0
2026-08-04,risco,NOVA MUTUM,hepatite_b_hbv,2025,34,0.7217,2,sem_confirmacao,0
2026-08-04,risco,LUCAS DO RIO VERDE,hepatite_b_hbv,2025,34,0.7089,2,sem_confirmacao,0
2026-08-04,risco,ALTO GARCAS,chikungunya,2025,31,0.7063,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,sifilis,2025,10,0.702,2,sem_confirmacao,0
2026-08-04,risco,JUARA,chikungunya,2025,27,0.6986,2,sem_confirmacao,0
2026-08-04,risco,CARLINDA,chikungunya,2025,15,0.696,2,sem_confirmacao,0
2026-08-04,risco,AGUA BOA,hepatite_a,2025,20,0.6948,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,hepatite_b_hbv,2025,34,0.688,2,sem_confirmacao,0
2026-08-04,risco,COMODORO,chikungunya,2025,30,0.6878,2,sem_confirmacao,0
2026-08-04,risco,MARCELANDIA,chikungunya,2025,21,0.6861,2,sem_confirmacao,0
2026-08-04,risco,QUERENCIA,hepatite_b_hbv,2025,33,0.6809,2,sem_confirmacao,0
2026-08-04,risco,PRIMAVERA DO LESTE,chikungunya,2025,35,0.6648,2,sem_confirmacao,0
2026-08-04,risco,BRASNORTE,chikungunya,2025,32,0.6579,2,sem_confirmacao,0
2026-08-04,risco,BRASNORTE,hepatite_b_hbv,2025,28,0.6571,2,sem_confirmacao,0
2026-08-04,risco,ITAUBA,chikungunya,2025,29,0.6569,2,sem_confirmacao,0
2026-08-04,risco,NORTELANDIA,chikungunya,2025,16,0.6517,2,sem_confirmacao,0
2026-08-04,risco,MATUPA,hepatite_b_hbv,2025,24,0.6462,2,sem_confirmacao,0
2026-08-04,risco,GUARANTA DO NORTE,hepatite_b_hbv,2025,33,0.6448,2,sem_confirmacao,0
2026-08-04,risco,BRASNORTE,dengue,2025,32,0.6443,2,sem_confirmacao,0
2026-08-04,risco,PEDRA PRETA,chikungunya,2025,28,0.644,2,sem_confirmacao,0
2026-08-04,risco,CANARANA,dengue,2025,34,0.6396,2,sem_confirmacao,0
2026-08-04,risco,COTRIGUACU,hepatite_b_hbv,2025,32,0.6372,2,sem_confirmacao,0
2026-08-04,risco,JUINA,hepatite_b_hbv,2025,34,0.6351,2,sem_confirmacao,0
2026-08-04,risco,POCONE,chikungunya,2025,28,0.6328,2,sem_confirmacao,0
2026-08-04,risco,CURVELANDIA,chikungunya,2025,17,0.6271,2,sem_confirmacao,0
2026-08-04,risco,GENERAL CARNEIRO,zika,2025,8,0.6256,2,sem_confirmacao,0
2026-08-04,risco,PLANALTO DA SERRA,chikungunya,2025,28,0.6235,2,sem_confirmacao,0
2026-08-04,risco,INDIAVAI,chikungunya,2025,8,0.6223,2,sem_confirmacao,0
2026-08-04,risco,RONDONOPOLIS,hepatite_b_hbv,2025,33,0.6216,2,sem_confirmacao,0
2026-08-04,risco,TANGARA DA SERRA,zika,2025,34,0.62,2,sem_confirmacao,0
2026-08-04,risco,SALVADOR,chikungunya,2025,9,0.6163,2,sem_confirmacao,0
2026-08-04,risco,CACERES,pesquisa_de_multipatogenos_ist,2026,21,0.6137,2,sem_confirmacao,0
2026-08-04,risco,CONQUISTA D''OESTE,chikungunya,2025,23,0.6098,2,sem_confirmacao,0
2026-08-04,risco,SAO JOSE DOS QUATRO MARCOS,chikungunya,2025,22,0.6096,2,sem_confirmacao,0
2026-08-04,risco,MATUPA,hepatite_a,2025,28,0.6028,2,sem_confirmacao,0
2026-08-04,risco,PONTES E LACERDA,chikungunya,2025,35,0.6004,2,sem_confirmacao,0
2026-08-04,risco,JURUENA,hepatite_b_hbv,2025,34,0.5986,2,sem_confirmacao,0
2026-08-04,risco,SINOP,hepatite_b_hbv,2026,20,0.597,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,influenza,2025,20,0.5805,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,pesquisa_de_genes_de_resistencia,2024,33,0.5713,2,sem_confirmacao,0
2026-08-04,risco,CANARANA,hepatite_b_hbv,2025,33,0.5607,2,sem_confirmacao,0
2026-08-04,risco,GUARANTA DO NORTE,hepatite_a,2025,28,0.5599,2,sem_confirmacao,0
2026-08-04,risco,CASTANHEIRA,hepatite_b_hbv,2025,33,0.5599,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,hiv,2025,22,0.5365,2,sem_confirmacao,0
2026-08-04,risco,COLIDER,hepatite_a,2024,32,0.5321,2,sem_confirmacao,0
2026-08-04,risco,TERRA NOVA DO NORTE,hepatite_a,2025,30,0.5302,2,sem_confirmacao,0
2026-08-04,risco,NOVA XAVANTINA,hepatite_b_hbv,2025,32,0.5228,2,sem_confirmacao,0
2026-08-04,risco,TERRA NOVA DO NORTE,hepatite_b_hbv,2025,32,0.5222,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,hepatite_a,2025,32,0.5141,2,sem_confirmacao,0
2026-08-04,risco,SORRISO,hepatite_a,2025,32,0.5116,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,hepatite_a,2025,17,0.5084,2,sem_confirmacao,0
2026-08-04,risco,CACERES,hepatite_b_hbv,2026,21,0.5043,2,sem_confirmacao,0
2026-08-04,risco,CAMPO VERDE,sarampo_igg,2025,46,0.4997,2,sem_confirmacao,0
2026-08-04,risco,GUARANTA DO NORTE,hiv,2025,23,0.4931,2,sem_confirmacao,0
2026-08-04,risco,ALTA FLORESTA,hepatite_a,2024,32,0.4827,2,sem_confirmacao,0
2026-08-04,risco,JACIARA,hepatite_b_hbv,2025,20,0.4811,2,sem_confirmacao,0
2026-08-04,risco,SINOP,hepatite_a,2025,16,0.4685,2,sem_confirmacao,0
2026-08-04,risco,PEDRA PRETA,hepatite_b_hbv,2025,33,0.4677,2,sem_confirmacao,0
2026-08-04,risco,NOVA MUTUM,hiv,2025,8,0.4662,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,pesquisa_de_multipatogenos_ist,2026,13,0.4655,2,sem_confirmacao,0
2026-08-04,risco,BARRA DO BUGRES,hepatite_b_hbv,2026,7,0.4653,2,sem_confirmacao,0
2026-08-04,risco,ALTA FLORESTA,hepatite_b_hbv,2025,30,0.464,2,sem_confirmacao,0
2026-08-04,risco,COLIDER,hepatite_b_hbv,2025,34,0.4532,2,sem_confirmacao,0
2026-08-04,risco,CACERES,toxoplasmose_igm,2025,13,0.4375,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,influenza,2025,20,0.4041,2,sem_confirmacao,0
2026-08-04,risco,CAMPINAPOLIS,sars_cov_2,2025,35,0.3918,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,variola,2026,5,0.3903,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,pesquisa_de_carbapenemases,2024,40,0.3856,2,sem_confirmacao,0
2026-08-04,risco,PONTES E LACERDA,hiv,2025,20,0.3853,2,sem_confirmacao,0
2026-08-04,risco,TANGARA DA SERRA,varicela_zoster_biologia_molecular,2024,38,0.3735,2,sem_confirmacao,0
2026-08-04,risco,CACERES,bacterias_teste_de_sensibilidade,2025,33,0.3607,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,pesquisa_de_genes_de_resistencia,2025,24,0.3526,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,pesquisa_de_carbapenemases,2025,43,0.346,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,toxoplasmose_igg,2025,35,0.345,2,sem_confirmacao,0
2026-08-04,risco,JUINA,meningite_bacteriana_biologia_molecular,2024,52,0.3434,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,varicela_biologia_molecular,2025,20,0.3414,2,sem_confirmacao,0
2026-08-04,risco,LUCAS DO RIO VERDE,virus_respiratorios,2025,35,0.3278,2,sem_confirmacao,0
2026-08-04,risco,PARANAITA,influenza_a,2025,28,0.3273,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,meningite_bacteriana_biologia_molecular,2026,21,0.3106,2,sem_confirmacao,0
2026-08-04,risco,JUINA,rotavirus,2024,35,0.3076,2,sem_confirmacao,0
2026-08-04,risco,TANGARA DA SERRA,virus_respiratorios,2025,33,0.3017,2,sem_confirmacao,0
2026-08-04,risco,MIRASSOL D''OESTE,bacterias_teste_de_sensibilidade,2025,33,0.2952,2,sem_confirmacao,0
2026-08-04,risco,CAMPO NOVO DO PARECIS,varicela_zoster_biologia_molecular,2025,35,0.2928,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,hiv,2025,46,0.2912,2,sem_confirmacao,0
2026-08-04,risco,NOVA MUTUM,varicela_zoster_biologia_molecular,2024,26,0.283,2,sem_confirmacao,0
2026-08-04,risco,CACERES,pesquisa_de_genes_de_resistencia,2025,22,0.2796,2,sem_confirmacao,0
2026-08-04,risco,CACERES,parvovirus_b19_igg,2025,30,0.2796,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,pesquisa_de_multipatogenos_ist,2026,11,0.2774,2,sem_confirmacao,0
2026-08-04,risco,JUINA,sarampo_igg,2025,46,0.273,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,varicela_zoster_biologia_molecular,2025,35,0.2701,2,sem_confirmacao,0
2026-08-04,risco,PONTES E LACERDA,pesquisa_de_multipatogenos_ist,2026,9,0.266,2,sem_confirmacao,0
2026-08-04,risco,SINOP,chagas,2024,41,0.2656,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,sarampo_igg,2025,46,0.2604,2,sem_confirmacao,0
2026-08-04,risco,TANGARA DA SERRA,pesquisa_de_genes_de_resistencia,2025,21,0.2596,2,sem_confirmacao,0
2026-08-04,risco,BARRA DO BUGRES,pesquisa_de_multipatogenos_ist,2026,20,0.2592,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,coqueluche_deteccao_de_bordetella_pertussis,2025,33,0.2585,2,sem_confirmacao,0
2026-08-04,risco,CAMPO VERDE,varicela_zoster_biologia_molecular,2024,41,0.258,2,sem_confirmacao,0
2026-08-04,risco,PRIMAVERA DO LESTE,meningite_bacteriana_tsa,2024,27,0.2567,2,sem_confirmacao,0
2026-08-04,risco,ALTA FLORESTA,hiv,2024,51,0.2552,2,sem_confirmacao,0
2026-08-04,risco,NOVA GUARITA,influenza,2025,19,0.2534,2,sem_confirmacao,0
2026-08-04,risco,LUCAS DO RIO VERDE,influenza_a,2025,35,0.2225,2,sem_confirmacao,0
2026-08-04,risco,BARRA DO GARCAS,sars_cov_2,2025,19,0.2068,2,sem_confirmacao,0
2026-08-04,risco,CACERES,influenza_a,2026,14,0.2044,2,sem_confirmacao,0
2026-08-04,risco,ROSARIO OESTE,influenza_b,2025,28,0.2013,2,sem_confirmacao,0
2026-08-04,risco,TANGARA DA SERRA,sars_cov_2,2025,21,0.1972,2,sem_confirmacao,0
2026-08-04,risco,AGUA BOA,sars_cov_2,2025,17,0.1971,2,sem_confirmacao,0
2026-08-04,risco,JUARA,influenza_a,2025,26,0.1931,2,sem_confirmacao,0
2026-08-04,risco,NOVA OLIMPIA,influenza_a,2025,22,0.1847,2,sem_confirmacao,0
2026-08-04,risco,LUCAS DO RIO VERDE,influenza_b,2025,35,0.184,2,sem_confirmacao,0
2026-08-04,risco,CAMPO VERDE,influenza_b,2025,30,0.1818,2,sem_confirmacao,0
2026-08-04,risco,SORRISO,influenza,2025,16,0.1795,2,sem_confirmacao,0
2026-08-04,risco,PRIMAVERA DO LESTE,sars_cov_2,2025,51,0.1794,2,sem_confirmacao,0
2026-08-04,risco,LUCAS DO RIO VERDE,influenza,2025,14,0.1732,2,sem_confirmacao,0
2026-08-04,risco,SINOP,influenza_a,2025,51,0.1687,2,sem_confirmacao,0
2026-08-04,risco,NOBRES,sars_cov_2,2025,23,0.1666,2,sem_confirmacao,0
2026-08-04,risco,NOVA MUTUM,influenza_a,2026,19,0.1651,2,sem_confirmacao,0
2026-08-04,risco,COLNIZA,influenza_a,2025,33,0.1625,2,sem_confirmacao,0
2026-08-04,risco,LUCAS DO RIO VERDE,sars_cov_2,2025,21,0.1612,2,sem_confirmacao,0
2026-08-04,risco,SAO JOSE DO RIO CLARO,influenza_a,2025,20,0.161,2,sem_confirmacao,0
2026-08-04,risco,SORRISO,influenza_a,2025,34,0.1559,2,sem_confirmacao,0
2026-08-04,risco,CAMPO NOVO DO PARECIS,sars_cov_2,2026,16,0.1542,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,influenza_a,2026,20,0.1361,2,sem_confirmacao,0
2026-08-04,risco,CUIABA,influenza_b,2026,20,0.1361,2,sem_confirmacao,0
2026-08-04,risco,RONDONOPOLIS,virus_respiratorios,2025,34,0.1305,2,sem_confirmacao,0
2026-08-04,risco,JACIARA,sars_cov_2,2025,22,0.1275,2,sem_confirmacao,0
2026-08-04,risco,RONDONOPOLIS,influenza_b,2026,9,0.123,2,sem_confirmacao,0
2026-08-04,risco,CACERES,influenza_b,2026,14,0.1205,2,sem_confirmacao,0
2026-08-04,risco,PONTES E LACERDA,influenza,2024,23,0.1195,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,influenza_b,2026,19,0.1189,2,sem_confirmacao,0
2026-08-04,risco,NOBRES,influenza_a,2025,23,0.1189,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,influenza_a,2026,19,0.1189,2,sem_confirmacao,0
2026-08-04,risco,VARZEA GRANDE,sars_cov_2,2026,19,0.1177,2,sem_confirmacao,0
2026-08-04,risco,COLIDER,influenza,2025,16,0.1177,2,sem_confirmacao,0
