municipio,municipio_key,internacoes,internacoes_por_100k,sih_semana_ref,cid_familia,indicasus_score,aviso,fonte_internacao,fonte_indicasus
TANGARA DA SERRA,TANGARA DA SERRA,2,1.8582,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
JUINA,JUINA,1,2.4278,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
PONTES E LACERDA,PONTES E LACERDA,1,2.169,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
DIAMANTINO,DIAMANTINO,1,4.4821,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CUIABA,CUIABA,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
VARZEA GRANDE,VARZEA GRANDE,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
LUCAS DO RIO VERDE,LUCAS DO RIO VERDE,0,0.0,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CAMPO VERDE,CAMPO VERDE,0,0.0,2026-SE26,dengue_arbovirose,7.035,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SINOP,SINOP,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SORRISO,SORRISO,0,0.0,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
JACIARA,JACIARA,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
GUARANTA DO NORTE,GUARANTA DO NORTE,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
TERRA NOVA DO NORTE,TERRA NOVA DO NORTE,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
RONDONOPOLIS,RONDONOPOLIS,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
RIO DE JANEIRO,RIO DE JANEIRO,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVA XAVANTINA,NOVA XAVANTINA,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
JURUENA,JURUENA,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOSSA SENHORA DO LIVRAMENTO,NOSSA SENHORA DO LIVRAMENTO,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
PRIMAVERA DO LESTE,PRIMAVERA DO LESTE,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
PARANATINGA,PARANATINGA,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
AGUA BOA,AGUA BOA,0,0.0,2026-SE26,hepatite,12.48,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ARIPUANA,ARIPUANA,0,0.0,2026-SE26,hepatite,8.9,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CASTANHEIRA,CASTANHEIRA,0,0.0,2026-SE26,hepatite,0.005,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
MATUPA,MATUPA,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
APIACAS,APIACAS,0,0.0,2026-SE26,hepatite,11.24,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
BRASILIA,BRASILIA,0,,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CACERES,CACERES,0,0.0,2026-SE26,tuberculose,12.82,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CANARANA,CANARANA,0,0.0,2026-SE26,hepatite,11.665,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CLAUDIA,CLAUDIA,0,0.0,2026-SE26,tuberculose,1.0,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
TOLEDO,TOLEDO,0,,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ARAPUTANGA,ARAPUTANGA,0,0.0,2026-SE26,dengue_arbovirose,6.91,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
BARRA DO GARCAS,BARRA DO GARCAS,0,0.0,2026-SE26,tuberculose,12.52,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
COMODORO,COMODORO,0,0.0,2026-SE26,,10.15,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVA MUTUM,NOVA MUTUM,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
