agravo,target,s1_exames,s1_low,s1_high,s1_positividade_pct,s2_exames,s3_exames,risco,metodo
estadual_volume,statewide_tests,1058,163,1953,0.0,1079,1100,—,media_historica_6se
dengue,dengue,183.14,96.01,270.27,0.11,183.14,183.14,baixo,ewma_span4_tail8
hepatite b hbv,hepatite_b_hbv,99.25,43.33,155.17,0.0,99.25,99.25,baixo,ewma_span4_tail8
hepatite c hcv,hepatite_c_hcv,20.18,8.83,31.52,0.0,20.18,20.18,baixo,ewma_span4_tail8
sars cov 2,sars_cov_2,46.15,33.9,58.4,0.0,46.15,46.15,baixo,ewma_span4_tail8
tuberculose,tuberculose,354.55,225.74,483.36,0.88,354.55,354.55,baixo,ewma_span4_tail8
bacteremia bact rias cultura,bacteremia_bact_rias_cultura,1.45,0.96,1.93,0.0,1.45,1.45,baixo,ewma_span4_tail8
bacteremia bact rias teste de sensibilidade,bacteremia_bact_rias_teste_de_sensibilidade,1.02,0.69,1.35,0.0,1.02,1.02,baixo,ewma_span4_tail8
brucelose brucelose,brucelose_brucelose,2.11,1.25,2.97,0.0,2.11,2.11,baixo,ewma_span4_tail8
brucelose brucelose igg,brucelose_brucelose_igg,2.07,0.91,3.24,0.0,2.07,2.07,baixo,ewma_span4_tail8
brucelose brucelose igm,brucelose_brucelose_igm,2.07,0.91,3.24,0.0,2.07,2.07,baixo,ewma_span4_tail8
caxumba caxumba biologia molecular,caxumba_caxumba_biologia_molecular,1.76,1.26,2.26,0.0,1.76,1.76,baixo,ewma_span4_tail8
chikungunya,chikungunya,13.96,7.68,20.23,0.0,13.96,13.96,baixo,ewma_span4_tail8
