fonte,municipio,cid_familia,n,caveat
SIH/VW_INTERNACAO,CANARANA,dengue_arbovirose,42,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,DIAMANTINO,dengue_arbovirose,39,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,TANGARA DA SERRA,dengue_arbovirose,35,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,CUIABA,dengue_arbovirose,31,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,NOVA XAVANTINA,dengue_arbovirose,23,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,TABAPORA,dengue_arbovirose,22,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,VARZEA GRANDE,dengue_arbovirose,19,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,BARRA DO GARCAS,dengue_arbovirose,19,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,CONFRESA,dengue_arbovirose,18,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,JUARA,dengue_arbovirose,17,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,PONTES E LACERDA,dengue_arbovirose,17,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
SIH/VW_INTERNACAO,JUINA,dengue_arbovirose,16,Cruzamento SIH/SIA é correlato por CID×município (proxy VW_INTERNACAO / SIA); não atribui causalidade nem confirma surto. SISREG permanece em host separado.
