se,pergunta,rank,target,municipio,exames,positivos,positividade,n_se,n_se_ant,delta,delta_pct,tendencia,taxa_exames_100k,taxa_positivos_100k,taxa_notif_100k,detalhe,tipo_sinal,flag
2026-SE37,mais_solicitados,1,tuberculose,TANGARA DA SERRA,245,2,0.8%,245,417,-172,-41.2,↓,"6,3","0,1",,mediana_4se=471.0,Observado,top_mun_exames=73.0
2026-SE37,mais_solicitados,2,dengue,VARZEA GRANDE,133,0,0.0%,133,212,-79,-37.3,↓,"3,4","0,0",,mediana_4se=222.0,Observado,top_mun_exames=50.0
2026-SE37,mais_solicitados,3,hepatite_b_hbv,NOVA XAVANTINA,41,0,0.0%,41,127,-86,-67.7,↓,"1,1","0,0",,mediana_4se=130.0,Observado,top_mun_exames=10.0
2026-SE37,mais_solicitados,4,sars_cov_2,VARZEA GRANDE,36,0,0.0%,36,50,-14,-28.0,↓,"0,9","0,0",,mediana_4se=51.0,Observado,top_mun_exames=19.0
2026-SE37,mais_solicitados,5,influenza,CUIABA,24,0,0.0%,24,44,-20,-45.5,↓,"0,6","0,0",,mediana_4se=39.0,Observado,top_mun_exames=13.0
2026-SE37,mais_solicitados,6,meningite,CUIABA,22,0,0.0%,22,28,-6,-21.4,↓,"0,6","0,0",,mediana_4se=31.5,Observado,top_mun_exames=14.0
2026-SE37,mais_solicitados,7,infec_o_coloniza_o_bact_rias_teste_de_sensibilidade,SANTA CARMEM,16,0,0.0%,16,34,-18,-52.9,↓,"0,4","0,0",,mediana_4se=9.0,Observado,top_mun_exames=10.0
2026-SE37,mais_solicitados,8,hepatite_c_hcv,CACERES,9,0,0.0%,9,25,-16,-64.0,↓,"0,2","0,0",,mediana_4se=30.5,Observado,top_mun_exames=1.0
2026-SE37,mais_solicitados,9,infec_o_coloniza_o_bact_rias_cultura,SANTA CARMEM,8,0,0.0%,8,18,-10,-55.6,↓,"0,2","0,0",,mediana_4se=7.5,Observado,top_mun_exames=5.0
2026-SE37,mais_solicitados,10,infec_o_coloniza_o_pesquisa_de_genes_de_resist_ncia,SANTA CARMEM,8,0,0.0%,8,10,-2,-20.0,↓,"0,2","0,0",,mediana_4se=4.5,Observado,top_mun_exames=5.0
2026-SE37,maior_positividade,1,tuberculose,TANGARA DA SERRA,245,2,0.8%,0.0082,0.0144,-0.0062,-43.3,↓,"6,3","0,1",,,Observado,
2026-SE37,maior_positividade,2,dengue,VARZEA GRANDE,133,0,0.0%,0,0.0047,-0.0047,-100.0,↓,"3,4","0,0",,,Observado,sem_positivos
2026-SE37,maior_positividade,3,hepatite_b_hbv,NOVA XAVANTINA,41,0,0.0%,0,0,0,,→,"1,1","0,0",,,Observado,sem_positivos
2026-SE37,maior_positividade,4,sars_cov_2,VARZEA GRANDE,36,0,0.0%,0,0,0,,→,"0,9","0,0",,,Observado,sem_positivos
2026-SE37,maior_positividade,5,influenza,CUIABA,24,0,0.0%,0,0,0,,→,"0,6","0,0",,,Observado,baixa_amostra
2026-SE37,maior_positividade,6,meningite,CUIABA,22,0,0.0%,0,0,0,,→,"0,6","0,0",,,Observado,baixa_amostra
2026-SE37,maior_positividade,7,infec_o_coloniza_o_bact_rias_teste_de_sensibilidade,SANTA CARMEM,16,0,0.0%,0,0,0,,→,"0,4","0,0",,,Observado,baixa_amostra
2026-SE37,localidades,1,tuberculose,TANGARA DA SERRA,73,1,1.4%,,,,,,"63,7","0,9",,positivos,Observado,
2026-SE37,localidades,2,tuberculose,SAPEZAL,5,1,20.0%,,,,,,"15,4","3,1",,positivos,Observado,
2026-SE37,localidades,3,tuberculose,CUIABA,35,0,0.0%,,,,,,"5,1","0,0",,exames,Observado,
2026-SE37,localidades,4,tuberculose,VARZEA GRANDE,27,0,0.0%,,,,,,"8,5","0,0",,exames,Observado,
2026-SE37,localidades,5,tuberculose,JUINA,18,0,0.0%,,,,,,"37,2","0,0",,exames,Observado,
2026-SE37,localidades,6,dengue,VARZEA GRANDE,50,0,0.0%,,,,,,"15,7","0,0",,exames,Observado,
2026-SE37,localidades,7,dengue,LUCAS DO RIO VERDE,25,0,0.0%,,,,,,"26,1","0,0",,exames,Observado,
2026-SE37,localidades,8,dengue,CAMPO VERDE,10,0,0.0%,,,,,,"20,4","0,0",,exames,Observado,
