municipio,familia,target,exames,positivos,notificacoes,flag,gal_sem_sinan,sinan_sem_gal,tipo_sinal
CUIABA,tuberculose,tuberculose,101.0,3.0,0.0,gal_sem_sinan,True,False,Observado
CACERES,papilomavirus_humano_hpv_papiloma_v_rus_biologia_molecular,papilomavirus_humano_hpv_papiloma_v_rus_biologia_molecular,54.0,0.0,0.0,gal_sem_sinan,True,False,Observado
JUINA,hepatite,hepatite_b_hbv,49.0,0.0,0.0,gal_sem_sinan,True,False,Observado
VARZEA GRANDE,tuberculose,tuberculose,44.0,0.0,0.0,gal_sem_sinan,True,False,Observado
TANGARA DA SERRA,tuberculose,tuberculose,43.0,0.0,0.0,gal_sem_sinan,True,False,Observado
VARZEA GRANDE,dengue,dengue,42.0,0.0,0.0,gal_sem_sinan,True,False,Observado
LUCAS DO RIO VERDE,dengue,dengue,28.0,0.0,0.0,gal_sem_sinan,True,False,Observado
SINOP,tuberculose,tuberculose,25.0,1.0,0.0,gal_sem_sinan,True,False,Observado
SINOP,infec_o_coloniza_o_bact_rias_teste_de_sensibilidade,infec_o_coloniza_o_bact_rias_teste_de_sensibilidade,24.0,0.0,0.0,gal_sem_sinan,True,False,Observado
SORRISO,dengue,dengue,19.0,0.0,0.0,gal_sem_sinan,True,False,Observado
RONDONOPOLIS,tuberculose,tuberculose,19.0,0.0,0.0,gal_sem_sinan,True,False,Observado
VARZEA GRANDE,covid19,sars_cov_2,16.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CACERES,tuberculose,tuberculose,16.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CUIABA,dengue,dengue,14.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CUIABA,hansen_ase_hansen_ase,hansen_ase_hansen_ase,13.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CUIABA,hepatite,hepatite_a,13.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CUIABA,sarampo,sarampo_rub_ola_igg,13.0,0.0,0.0,gal_sem_sinan,True,False,Observado
SINOP,infec_o_coloniza_o_bact_rias_cultura,infec_o_coloniza_o_bact_rias_cultura,12.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CUIABA,srag,influenza,12.0,0.0,0.0,gal_sem_sinan,True,False,Observado
ALTA FLORESTA,tuberculose,tuberculose,10.0,0.0,0.0,gal_sem_sinan,True,False,Observado
LUCAS DO RIO VERDE,tuberculose,tuberculose,10.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CAMPO VERDE,dengue,dengue,9.0,0.0,0.0,gal_sem_sinan,True,False,Observado
COLIDER,dengue,dengue,9.0,0.0,0.0,gal_sem_sinan,True,False,Observado
SORRISO,tuberculose,tuberculose,9.0,1.0,0.0,gal_sem_sinan,True,False,Observado
NOVA UBIRATA,chikungunya,chikungunya,8.0,0.0,0.0,gal_sem_sinan,True,False,Observado
SINOP,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,8.0,0.0,0.0,gal_sem_sinan,True,False,Observado
ARIPUANA,hepatite,hepatite_b_hbv,7.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CASTANHEIRA,hepatite,hepatite_b_hbv,7.0,0.0,0.0,gal_sem_sinan,True,False,Observado
COLNIZA,hepatite,hepatite_b_hbv,7.0,0.0,0.0,gal_sem_sinan,True,False,Observado
GUARANTA DO NORTE,hepatite,hepatite_b_hbv,7.0,0.0,0.0,gal_sem_sinan,True,False,Observado
PONTES E LACERDA,dengue,dengue,6.0,1.0,0.0,gal_sem_sinan,True,False,Observado
LUCAS DO RIO VERDE,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,6.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CAMPO NOVO DO PARECIS,hepatite,hepatite_b_hbv,6.0,0.0,0.0,gal_sem_sinan,True,False,Observado
SINOP,infec_o_coloniza_o_pesquisa_de_genes_de_resist_ncia,infec_o_coloniza_o_pesquisa_de_genes_de_resist_ncia,6.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CUIABA,covid19,sars_cov_2,6.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CAMPINAPOLIS,tuberculose,tuberculose,6.0,0.0,0.0,gal_sem_sinan,True,False,Observado
NOBRES,tuberculose,tuberculose,6.0,0.0,0.0,gal_sem_sinan,True,False,Observado
PORTO VELHO,tuberculose,tuberculose,6.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CUIABA,zika,zika,6.0,0.0,0.0,gal_sem_sinan,True,False,Observado
CUIABA,chikungunya,chikungunya,5.0,0.0,0.0,gal_sem_sinan,True,False,Observado
