nivel,municipio,local,agravo,n,positivos,notificacoes,codigo_ibge,latitude,longitude,tipo_sinal
bairro_cep,CUIABA,*Não disponível,—,2926,,,,,,Observado
bairro_cep,VARZEA GRANDE,*Não disponível,—,1553,,,,,,Observado
bairro_cep,TANGARA DA SERRA,*Em Branco,—,735,,,,,,Observado
bairro_cep,PEIXOTO DE AZEVEDO,*Não disponível,—,716,,,,,,Observado
bairro_cep,SINOP,*Não disponível,—,582,,,,,,Observado
bairro_cep,TANGARA DA SERRA,*Não disponível,—,536,,,,,,Observado
bairro_cep,RONDONOPOLIS,*Não disponível,—,508,,,,,,Observado
bairro_cep,CACERES,*Não disponível,—,483,,,,,,Observado
bairro_cep,PONTES E LACERDA,*Não disponível,—,400,,,,,,Observado
bairro_cep,BARRA DO GARCAS,*Não disponível,—,387,,,,,,Observado
bairro_cep,SORRISO,*Não disponível,—,353,,,,,,Observado
bairro_cep,TANGARA DA SERRA,CENTRO,—,326,,,,,,Observado
bairro_cep,CACERES,*Em Branco,—,316,,,,,,Observado
bairro_cep,COLIDER,*Não disponível,—,313,,,,,,Observado
bairro_cep,CUIABA,*Em Branco,—,310,,,,,,Observado
bairro_cep,PARANATINGA,*Não disponível,—,310,,,,,,Observado
bairro_cep,JUINA,*Não disponível,—,300,,,,,,Observado
bairro_cep,ALTA FLORESTA,*Não disponível,—,293,,,,,,Observado
bairro_cep,BARRA DO BUGRES,*Não disponível,—,289,,,,,,Observado
bairro_cep,CONFRESA,*Não disponível,—,270,,,,,,Observado
