ano,semana_epidemiologica,agravo,municipio,serie,casos,n_anos_baseline,anos_baseline,p25,p50,p75,zona,razao_vs_p50,exames_marcador,positivos_marcador,marcador_alerta,numerador
2026,30,chikungunya,CAMPO NOVO DO PARECIS,positivos,0,3,"2023,2024,2025",0.0,0.0,0.0,sucesso,,,,,positivos_semanais_brutos
2026,30,chikungunya,CHAPADA DOS GUIMARAES,positivos,0,2,"2024,2025",0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,chikungunya,CRUZEIRO DO SUL,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,chikungunya,CUIABA,positivos,0,3,"2021,2024,2025",0.0,0.0,0.0,sucesso,,,,,positivos_semanais_brutos
2026,30,chikungunya,PACARAIMA,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,chikungunya,PONTES E LACERDA,positivos,0,2,"2023,2025",0.25,0.5,0.75,sem_dado,,,,,positivos_semanais_brutos
2026,30,chikungunya,RONDONOPOLIS,positivos,0,2,"2022,2024",0.25,0.5,0.75,sem_dado,,,,,positivos_semanais_brutos
2026,30,chikungunya,SAPEZAL,positivos,0,1,2025,0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,chikungunya,SINOP,positivos,0,3,"2021,2024,2025",0.0,0.0,0.0,sucesso,,,,,positivos_semanais_brutos
2026,30,chikungunya,TANGARA DA SERRA,positivos,0,2,"2024,2025",0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,chikungunya,VARZEA GRANDE,positivos,0,5,"2021,2022,2023,2024,2025",0.0,0.0,0.0,sucesso,,,,,positivos_semanais_brutos
2026,30,criptococose_toxoplasmose_igg,CUIABA,positivos,1,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,criptococose_toxoplasmose_igm,CUIABA,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,ALTA FLORESTA,positivos,0,3,"2021,2024,2025",2.0,4.0,5.5,sucesso,0.0,,,,positivos_semanais_brutos
2026,30,dengue,ALTO GARCAS,positivos,0,2,"2023,2025",1.0,1.0,1.0,volume_insuficiente,,3.0,0.0,PCR_arbovirose,marcador_alerta
2026,30,dengue,ANTONIO PRADO,positivos,0,0,,,,,volume_insuficiente,,1.0,0.0,PCR_arbovirose,marcador_alerta
2026,30,dengue,ASSIS BRASIL,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,BARRA DO GARCAS,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,BELEM,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,BOA ESPERANCA DO NORTE,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,BOA VISTA,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,BRASNORTE,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,CACERES,positivos,0,4,"2021,2022,2024,2025",0.0,0.5,1.0,sucesso,0.0,,,,positivos_semanais_brutos
2026,30,dengue,CAMPINAPOLIS,positivos,0,2,"2024,2025",0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,CAMPO NOVO DO PARECIS,positivos,0,2,"2023,2025",0.25,0.5,0.75,volume_insuficiente,,4.0,0.0,IgM,marcador_alerta
2026,30,dengue,CAMPO VERDE,positivos,0,2,"2023,2025",3.5,7.0,10.5,volume_insuficiente,,3.0,0.0,IgM+PCR_arbovirose,marcador_alerta
2026,30,dengue,CHAPADA DOS GUIMARAES,positivos,0,2,"2023,2025",0.0,0.0,0.0,volume_insuficiente,,1.0,0.0,PCR_arbovirose,marcador_alerta
2026,30,dengue,CHAPADAO DO SUL,positivos,0,0,,,,,volume_insuficiente,,1.0,0.0,IgM,marcador_alerta
2026,30,dengue,COLIDER,positivos,0,2,"2024,2025",0.75,1.5,2.25,volume_insuficiente,,4.0,0.0,PCR_arbovirose,marcador_alerta
2026,30,dengue,COLNIZA,positivos,0,0,,,,,volume_insuficiente,,1.0,0.0,PCR_arbovirose,marcador_alerta
2026,30,dengue,COMODORO,positivos,0,2,"2024,2025",0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,CONCORDIA,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,CONQUISTA D''OESTE,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,CRUZEIRO DO SUL,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,CUIABA,positivos,1,4,"2021,2022,2024,2025",0.0,0.0,0.25,volume_insuficiente,,9.0,1.0,IgM+PCR_arbovirose,marcador_alerta
2026,30,dengue,CURITIBA,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,DENISE,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,GOIANESIA DO PARA,positivos,0,0,,,,,volume_insuficiente,,1.0,0.0,PCR_arbovirose,marcador_alerta
2026,30,dengue,GUARANTA DO NORTE,positivos,0,3,"2023,2024,2025",0.0,0.0,34.5,volume_insuficiente,,2.0,0.0,IgM,marcador_alerta
2026,30,dengue,IPIRANGA DO NORTE,positivos,0,1,2025,0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,ITANHANGA,positivos,1,1,2024,0.0,0.0,0.0,volume_insuficiente,,1.0,1.0,IgM,marcador_alerta
2026,30,dengue,JACAREACANGA,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,JAURU,positivos,1,0,,,,,volume_insuficiente,,1.0,1.0,IgM,marcador_alerta
2026,30,dengue,JUINA,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,LARANJAL DO JARI,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,LUCAS DO RIO VERDE,positivos,4,1,2025,25.0,25.0,25.0,volume_insuficiente,,35.0,4.0,IgM+PCR_arbovirose,marcador_alerta
2026,30,dengue,LUIS EDUARDO MAGALHAES,positivos,0,0,,,,,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,MANAUS,positivos,0,1,2024,0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,MARCELANDIA,positivos,0,2,"2021,2025",2.5,3.0,3.5,volume_insuficiente,,1.0,0.0,IgM,marcador_alerta
2026,30,dengue,MIRASSOL D''OESTE,positivos,0,5,"2021,2022,2023,2024,2025",0.0,0.0,0.0,sucesso,,,,,positivos_semanais_brutos
2026,30,dengue,NOSSA SENHORA DO LIVRAMENTO,positivos,0,1,2024,0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,NOVA MARILANDIA,positivos,0,1,2025,1.0,1.0,1.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,NOVA MUTUM,positivos,0,2,"2024,2025",0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,NOVA UBIRATA,positivos,0,2,"2024,2025",0.0,0.0,0.0,sem_dado,,,,,positivos_semanais_brutos
2026,30,dengue,NOVO HORIZONTE DO NORTE,positivos,0,1,2025,1.0,1.0,1.0,sem_dado,,,,,positivos_semanais_brutos
