Exame,Metodologia,Agravo_Requisicao,n_registros
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,TUBERCULOSE,3025
Pesquisa de Arbovírus (ZDC),RT-PCR em tempo real ,DENGUE,1248
"Oropouche, Biologia Molecular",RT-PCR em tempo real ,DENGUE,1058
"Mayaro, Biologia Molecular",RT-PCR em tempo real ,DENGUE,1055
"Encefalite Saint Louis, Biologia Molecular",RT-PCR em tempo real ,DENGUE,1035
"Febre do Nilo Ocidental, Biologia Molecular",RT-PCR em tempo real ,DENGUE,1033
Vírus Respiratórios,RT-PCR em tempo real ,COVID-19,927
"Tuberculose, Baciloscopia",Coloração de Ziehl-Neelsen,TUBERCULOSE,873
"Hepatite B, Pesquisa quantitativa do DNA HBV",PCR em Tempo Real,HEPATITES VIRAIS,808
"Dengue, IgM",Enzimaimunoensaio,DENGUE,639
"Tuberculose, Cultura",Cultura,TUBERCULOSE,589
Vírus Respiratórios,RT-PCR em tempo real ,INFLUENZA / VÍRUS RESPIRATÓRIOS,568
"Chikungunya, IgG",Enzimaimunoensaio,DENGUE,498
"Chikungunya, IgM",Enzimaimunoensaio,DENGUE,480
Hanseníase,Coloração de Ziehl-Neelsen,HANSENÍASE,264
"Zika,IgG",Enzimaimunoensaio,DENGUE,234
"Zika,IgM",Enzimaimunoensaio,DENGUE,215
Raiva,SFIMT ( Simplified Fluorescence Inhibition Microtest),RAIVA,200
"Hepatite C, Pesquisa quantitativa do RNA HCV",RT-PCR em tempo real ,HEPATITES VIRAIS,162
Pesquisa de Multipatógenos IST,PCR em Tempo Real,DOENÇAS SEXUALMENTE TRANSMITIDAS,139
Tuberculose,Enzimaimunoensaio,TUBERCULOSE,131
"Oropouche, Biologia Molecular",RT-PCR em tempo real ,CHIKUNGUNYA,106
"Mayaro, Biologia Molecular",RT-PCR em tempo real ,CHIKUNGUNYA,105
"Febre do Nilo Ocidental, Biologia Molecular",RT-PCR em tempo real ,CHIKUNGUNYA,101
"Encefalite Saint Louis, Biologia Molecular",RT-PCR em tempo real ,CHIKUNGUNYA,101
Chagas,Imunoensaio de Micropartículas por Quimioluminescência,DOENÇA DE CHAGAS,100
"Chagas, IgG",Enzimaimunoensaio,DOENÇA DE CHAGAS,100
"Chikungunya, IgG",Enzimaimunoensaio,CHIKUNGUNYA,100
"Chikungunya, IgM",Enzimaimunoensaio,CHIKUNGUNYA,99
"Hepatite C, Anti HCV",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,94
Pesquisa de Arbovírus (ZDC),RT-PCR em tempo real ,CHIKUNGUNYA,89
"Toxoplasmose, IgM",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,88
"Toxoplasmose, IgG",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,88
"Hanseníase, Teste de Sensibilidade Genotípico",Hibridação com sonda em linha (LPA),HANSENÍASE,81
"Hepatite B, Anti HBc - IgM",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,79
"Hepatite B, HBsAg",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,79
"Hepatite B, HBeAg",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,79
"Hepatite B, Anti HBe",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,79
"Hepatite B, Anti HBs",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,79
"Hepatite B, Anti HBc Total",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,79
"Meningite Bacteriana, Biologia Molecular",PCR em Tempo Real,MENINGITE,77
Meningite,Cultura,MENINGITE,75
Fungos,Micológico Direto,TUBERCULOSE,74
"Tuberculose, Teste de Sensibilidade",Teste de Sensibilidade,TUBERCULOSE,69
"Tuberculose, LF-LAM",Imunocromatografia,TUBERCULOSE,67
Cultura para Fungos,Cultura para Fungos,TUBERCULOSE,66
"Dengue, IgM",Enzimaimunoensaio,CHIKUNGUNYA,62
"Leishmaniose Visceral Humana, Teste Rápido",Imunocromatografia,LEISHMANIOSE VISCERAL,44
"Hepatite A, Anti HAV - IgM",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,41
"Hepatite A, Anti HAV - IgG",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,40
"Meningite, Microscopia",Coloração de Gram,MENINGITE,39
"Citomegalovírus, IgG",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,39
"Hantavírus, IgM",Enzimaimunoensaio,HANTAVIROSE,39
"Citomegalovírus, IgM",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,39
"Hantavírus, IgG",Enzimaimunoensaio,HANTAVIROSE,38
"Zika,IgM",Enzimaimunoensaio,CHIKUNGUNYA,34
"Vírus, Biologia Molecular",Sequenciamento,DENGUE,32
Vírus Respiratórios,RT-PCR em tempo real ,DENGUE,25
Colinesterase Plasmática,Teste Fotométrico Cinético,RAIVA,23
"Zika,IgG",Enzimaimunoensaio,CHIKUNGUNYA,23
Paracoccidioidomicose,Imunodifusão Radial Dupla,PARACOCCIDIOIDOMICOSE,23
Colinesterase Plasmática,Teste Fotométrico Cinético,"INTOXICAÇÃO EXÓGENA (por substâncias químicas, incluindo agrotóxicos, gases tóxicos e metais pesados)",21
"Bactérias, Cultura",Cultura,TUBERCULOSE,21
"Oropouche, Biologia Molecular",RT-PCR em tempo real ,COVID-19,21
"Leptospirose,  IgM",Enzimaimunoensaio,LEPTOSPIROSE,20
"Mayaro, Biologia Molecular",RT-PCR em tempo real ,COVID-19,20
"Febre do Nilo Ocidental, Biologia Molecular",RT-PCR em tempo real ,COVID-19,20
"Encefalite Saint Louis, Biologia Molecular",RT-PCR em tempo real ,COVID-19,20
"Hanseníase, Biologia Molecular",PCR em Tempo Real,HANSENÍASE,19
Pesquisa de Arbovírus (ZDC),RT-PCR em tempo real ,COVID-19,15
Varíola,PCR em Tempo Real,VARÍOLA,14
"Criptococos, Teste Rápido",Imunocromatografia,CRIPTOCOCOSE,14
Fungos,Micológico Direto,ESPOROTRICOSE HUMANA,13
Vírus Respiratórios,RT-PCR em tempo real ,MENINGITE,13
Histoplasmose,Imunodifusão Radial Dupla,HISTOPLASMOSE,13
"Varicela Zoster, Biologia Molecular",PCR em Tempo Real,VARÍOLA,13
