municipio,epi_year,epi_week,precipitation_sum_mm,wind_speed_10m_max,temperature_2m_max,relative_humidity_2m_min,n_eventos_climaticos,severidade_media,severidade_max
ACORIZAL,2015,53,,,,,3,0.0,0
ACORIZAL,2016,1,,,,,7,0.0,0
ACORIZAL,2016,2,,,,,7,0.0,0
ACORIZAL,2016,3,,,,,7,0.0,0
ACORIZAL,2016,4,,,,,7,0.0,0
ACORIZAL,2016,5,,,,,7,0.0,0
ACORIZAL,2016,6,,,,,7,0.0,0
ACORIZAL,2016,7,,,,,7,0.0,0
ACORIZAL,2016,8,,,,,7,0.0,0
ACORIZAL,2016,9,,,,,7,0.0,0
ACORIZAL,2016,10,,,,,7,0.0,0
ACORIZAL,2016,11,,,,,7,0.0,0
ACORIZAL,2016,12,,,,,7,0.0,0
ACORIZAL,2016,13,,,,,7,0.0,0
ACORIZAL,2016,14,,,,,7,0.0,0
ACORIZAL,2016,15,,,,,7,0.0,0
ACORIZAL,2016,16,,,,,7,0.0,0
ACORIZAL,2016,17,,,,,7,0.0,0
ACORIZAL,2016,18,,,,,7,0.0,0
ACORIZAL,2016,19,,,,,7,0.0,0
ACORIZAL,2016,20,,,,,7,0.0,0
ACORIZAL,2016,21,,,,,7,0.0,0
ACORIZAL,2016,22,,,,,7,0.0,0
ACORIZAL,2016,23,,,,,7,0.0,0
ACORIZAL,2016,24,,,,,7,0.0,0
ACORIZAL,2016,25,,,,,7,0.0,0
ACORIZAL,2016,26,,,,,7,0.0,0
ACORIZAL,2016,27,,,,,7,0.0,0
ACORIZAL,2016,28,,,,,7,0.0,0
ACORIZAL,2016,29,,,,,7,0.0,0
ACORIZAL,2016,30,,,,,7,0.0,0
ACORIZAL,2016,31,,,,,7,0.0,0
ACORIZAL,2016,32,,,,,7,0.0,0
ACORIZAL,2016,33,,,,,7,0.0,0
ACORIZAL,2016,34,,,,,7,0.0,0
ACORIZAL,2016,35,,,,,7,0.0,0
ACORIZAL,2016,36,,,,,7,0.0,0
ACORIZAL,2016,37,,,,,7,0.0,0
ACORIZAL,2016,38,,,,,7,0.0,0
ACORIZAL,2016,39,,,,,7,0.0,0
ACORIZAL,2016,40,,,,,7,0.0,0
ACORIZAL,2016,41,,,,,7,0.0,0
ACORIZAL,2016,42,,,,,7,0.0,0
ACORIZAL,2016,43,,,,,7,0.0,0
ACORIZAL,2016,44,,,,,7,0.0,0
ACORIZAL,2016,45,,,,,7,0.0,0
ACORIZAL,2016,46,,,,,7,0.0,0
ACORIZAL,2016,47,,,,,7,0.0,0
ACORIZAL,2016,48,,,,,7,0.0,0
ACORIZAL,2016,49,,,,,7,0.0,0
ACORIZAL,2016,50,,,,,7,0.0,0
ACORIZAL,2016,51,,,,,7,0.0,0
ACORIZAL,2016,52,,,,,7,0.0,0
