municipio,cnes_estabelecimentos,cnes_leitos_total,cnes_leitos_sus,cnes_leitos_uti,cnes_equipamentos_total,cnes_equipamentos_uso,cnes_equipamentos_criticos,cnes_equipes_total,cnes_equipes_esf
*EM BRANCO,73,,,,315,315,63,49,9
ACORIZAL,250,,,,276,276,23,111,48
AGUA BOA,2216,2172.0,1812.0,240.0,14050,13751,2348,633,316
ALTA FLORESTA,5440,5076.0,2604.0,546.0,32029,30567,8629,786,408
ALTO ARAGUAIA,1038,2390.0,552.0,0.0,2580,2488,670,383,167
ALTO BOA VISTA,468,,,,2555,2486,115,165,72
ALTO GARCAS,482,339.0,339.0,0.0,3376,3177,600,190,95
ALTO PARAGUAI,293,,,,590,590,129,204,93
ALTO TAQUARI,526,488.0,488.0,0.0,1345,1293,276,167,72
APIACAS,383,768.0,768.0,0.0,2525,2373,205,192,96
ARAGUAIANA,261,229.0,229.0,0.0,345,326,69,77,24
ARAGUAINHA,115,,,,156,156,0,72,24
ARAPUTANGA,833,475.0,403.0,0.0,2464,2464,504,216,120
ARENAPOLIS,707,984.0,984.0,12.0,2476,2383,270,192,96
ARIPUANA,1050,903.0,807.0,0.0,7058,7012,876,299,144
BARAO DE MELGACO,262,288.0,288.0,0.0,1051,1051,69,143,72
BARRA DO BUGRES,1730,768.0,768.0,0.0,4141,4101,1118,391,205
BARRA DO GARCAS,5933,3325.0,1975.0,438.0,15199,14988,3600,1082,475
BOM JESUS DO ARAGUAIA,356,,,,270,270,46,150,72
BRASNORTE,1055,960.0,960.0,0.0,5947,5897,696,260,120
CACERES,6303,8377.0,7323.0,1392.0,40525,39141,8582,1013,422
CAMPINAPOLIS,639,570.0,570.0,0.0,886,748,115,239,96
CAMPO NOVO DO PARECIS,2993,828.0,807.0,0.0,36016,35001,4897,629,261
CAMPO VERDE,2509,1872.0,1488.0,240.0,8074,7732,2621,792,336
CAMPOS DE JULIO,805,408.0,408.0,0.0,4652,4012,222,144,72
CANABRAVA DO NORTE,393,65.0,65.0,0.0,286,284,25,142,62
CANARANA,1935,1060.0,708.0,0.0,12509,11684,1039,384,192
CARLINDA,532,,,,2908,2908,184,199,110
CASTANHEIRA,429,,,,2308,2262,184,120,72
CHAPADA DOS GUIMARAES,812,56.0,0.0,0.0,3520,3390,375,325,215
CLAUDIA,429,657.0,657.0,0.0,979,910,115,216,96
COCALINHO,536,408.0,408.0,0.0,1536,1513,51,149,72
COLIDER,1973,2918.0,1589.0,480.0,21186,17430,5205,432,192
COLNIZA,962,864.0,848.0,0.0,1658,1303,244,216,192
COMODORO,1401,1008.0,744.0,0.0,1829,1783,236,290,168
CONFRESA,1878,1872.0,1704.0,0.0,8401,7987,977,501,216
CONQUISTA D OESTE,289,,,,602,579,93,72,48
COTRIGUACU,432,816.0,816.0,0.0,3972,3504,253,238,120
CUIABA,52545,62003.0,39314.0,15487.0,432558,410654,95688,5679,3306
CURVELANDIA,217,,,,925,925,129,96,48
DENISE,399,,,,1388,1342,391,141,71
DIAMANTINO,1580,720.0,720.0,0.0,5545,5379,1672,544,237
DOM AQUINO,318,516.0,406.0,0.0,1188,1111,127,216,96
FELIZ NATAL,524,,,,1787,1718,46,167,72
FIGUEIROPOLIS D OESTE,184,,,,207,207,69,71,24
GAUCHA DO NORTE,806,239.0,239.0,0.0,2273,2245,236,106,48
GENERAL CARNEIRO,310,360.0,360.0,0.0,1640,1564,188,128,48
GLORIA D OESTE,175,,,,1314,1291,136,120,48
GUARANTA DO NORTE,1628,1464.0,881.0,240.0,10852,10806,1738,456,216
GUIRATINGA,536,335.0,295.0,0.0,3383,1037,216,264,120
INDIAVAI,169,,,,481,231,138,48,24
IPIRANGA DO NORTE,448,,,,1736,1621,196,158,72
ITANHANGA,347,,,,764,764,92,144,72
ITAUBA,251,384.0,384.0,0.0,805,789,138,48,24
ITIQUIRA,692,888.0,888.0,0.0,3208,3094,368,253,120
JACIARA,1676,1392.0,1272.0,24.0,8319,7256,1577,450,192
JANGADA,384,,,,1283,1283,138,216,105
JAURU,418,912.0,792.0,0.0,691,622,256,167,72
JUARA,2652,1455.0,912.0,0.0,11908,11229,1988,421,216
JUINA,2650,3018.0,2088.0,240.0,22398,21003,3591,551,288
JURUENA,722,474.0,474.0,0.0,3813,3731,448,144,72
JUSCIMEIRA,495,360.0,360.0,0.0,5098,5079,648,249,119
