target,forecast_step,forecast_epi_year,forecast_epi_week,forecast_tests,forecast_positividade,forecast_notificacoes,metodo,modelo_versao
bacteremia_bact_rias_cultura,1,2025,41,1.62,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_cultura,2,2025,42,1.62,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_cultura,3,2025,43,1.62,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_cultura,4,2025,44,1.62,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_identifica_o,1,2025,37,1.09,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_identifica_o,2,2025,38,1.09,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_identifica_o,3,2025,39,1.09,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_identifica_o,4,2025,40,1.09,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_teste_de_sensibilidade,1,2025,37,2.46,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_teste_de_sensibilidade,2,2025,38,2.46,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_teste_de_sensibilidade,3,2025,39,2.46,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_teste_de_sensibilidade,4,2025,40,2.46,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_teste_de_sensibilidade_ii,1,2025,37,1.9,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_teste_de_sensibilidade_ii,2,2025,38,1.9,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_teste_de_sensibilidade_ii,3,2025,39,1.9,0.0,0.0,ewma_span4_tail8,baseline_v1
bacteremia_bact_rias_teste_de_sensibilidade_ii,4,2025,40,1.9,0.0,0.0,ewma_span4_tail8,baseline_v1
