municipio,exames,tat_mediano_dias,tat_p90_dias,tat_lab_mediano_dias,logistica_mediana_dias,pct_liberado_48h,pct_liberado_48h_coleta,pct_liberado_7d,pct_liberado_14d,pct_rejeitado,backlog_estimado,pct_inconclusivo,pct_liberado,fonte,anos_referencia,interpretacao,volume_norm,backlog_norm,tat_p90_norm,rejeicao_norm,indice_pressao_rede,faixa_pressao,formula_pressao,sla_48h_fonte,sla_crise,tipo_sinal_sla,pct_liberado_48h_limiar_crise,tat_p90_limiar_crise,exames_ultima_se,exames_mediana_8se,razao_exames_vs_hist,silencio_gal_alerta,tipo_silencio_gal,silencio_gal_vs_vizinhos,exames_mediana_vizinhos,epi_year_ref,epi_week_ref,fonte_silencio,nota_silencio,silencio_sinan_territorial,silencio_gal_distinto_sinan,divergencia_gal_notif,tipo_divergencia,fonte_divergencia,exames_janela,notificacoes_janela,prioridade_emergencia,sinal,acao_sugerida,responsavel,prazo_acao,checklist_operacional,tipo_sinal_pressao,prob_pressao_alta_proxima_janela,limiar_pressao_predita,pressao_predita_acima_limiar,faixa_pressao_predita,drivers_pressao_predita,acao_pressao_predita,tipo_sinal_pressao_predita
CUIABA,96629.0,8.672916666666667,151.79722222222222,2.9451388888888888,3.588888888888889,0.4236510094586495,0.1504125099695357,0.43939176026045,0.6214975876992272,0.0634074656676567,34944.0,0.0,0.5103540345030995,gal_lacen_microdados,>=2024,Rejeição elevada — capacitar coleta/envio de amostras,1.0,0.3616,1.0,0.6341,75.36,critica,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,261.0,3.0,87.0,False,estavel,False,5.5,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,True,exame_sem_notif_semana,integrated_weekly_surveillance,261.0,0.0,CRÍTICO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.9771,0.3,True,critica,cnes_estabelecimentos=5.25e+04 (imp=0.0355); cnes_leitos_total=6.2e+04 (imp=0.013); tests_ma4=248 (imp=0.572); tests_ma8=257 (imp=0.149); cnes_equipes_esf=3.31e+03 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
VARZEA GRANDE,62551.0,6.479861111111111,123.38333333333334,3.8694444444444445,1.5854166666666667,0.365007075775119,0.1875603123080972,0.52112027370822,0.6468988507763839,0.11023005227734169,22465.0,0.0,0.3809851161452255,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,1.0,0.3591,1.0,1.0,80.77,critica,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,False,Observado,0.2768586387434555,151.14791666666676,531.0,2.0,265.5,False,estavel,False,5.5,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,True,exame_sem_notif_semana,integrated_weekly_surveillance,531.0,0.0,ALTO,utilizacao,Avaliar subutilização da rede e reforçar encaminhamento de amostras em 15 dias.,Vigilância municipal + LACEN,15 dias,1) Comparar exames×notificações; 2) Identificar subutilização; 3) Reforçar encaminhamento laboratorial,Derivado,0.9776,0.3,True,critica,cnes_estabelecimentos=6.79e+03 (imp=0.0355); cnes_leitos_total=1.51e+04 (imp=0.013); tests_ma4=284 (imp=0.572); tests_ma8=232 (imp=0.149); cnes_equipes_esf=3.05e+03 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
CACERES,16698.0,16.6625,116.59583333333333,9.759374999999999,2.657638888888889,0.3210193599367839,0.09870189722712958,0.3605499654351333,0.4741531607650357,0.08498023715415019,4729.0,0.0,0.5325188645346748,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,1.0,0.2832,1.0,0.8498,76.24,critica,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,False,Observado,0.2768586387434555,151.14791666666676,9.0,2.0,4.5,False,estavel,False,1.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"Monitorar tendência, validar positivos e articular resposta municipal em 48–72h.",CIEVS / Sala de Situação + vigilância municipal,48–72h,1) Revisar score de risco; 2) Validar exames/positivos; 3) Articular resposta municipal; 4) Reavaliar na próxima SE,Derivado,0.9337,0.3,True,critica,cnes_estabelecimentos=6.3e+03 (imp=0.0355); cnes_leitos_total=8.38e+03 (imp=0.013); tests_ma4=19.5 (imp=0.572); cnes_equipes_esf=422 (imp=0.00772); tests_ma8=18.8 (imp=0.149),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
TANGARA DA SERRA,9574.0,10.656944444444445,182.71666666666667,5.922916666666667,4.646527777777778,0.2521489971346705,0.08313974813546889,0.2656804010270204,0.5769653991930553,0.12210152496344266,1100.0,0.0,0.5092960100271569,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.9643,0.1149,1.0,1.0,72.37,alta,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,79.0,4.0,19.75,False,estavel,False,1.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,True,exame_sem_notif_semana,integrated_weekly_surveillance,79.0,0.0,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.9327,0.3,True,critica,cnes_estabelecimentos=8.86e+03 (imp=0.0355); cnes_leitos_total=8.32e+03 (imp=0.013); tests_ma4=42.2 (imp=0.572); tests_ma8=40.9 (imp=0.149); cnes_equipes_esf=552 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
SINOP,18737.0,10.539583333333333,148.31805555555556,5.13125,4.440277777777778,0.3175228490387646,0.10842541436464088,0.37196132596685083,0.5839779005524862,0.04114852964722207,6944.0,0.0,0.43128569141271283,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,1.0,0.3706,1.0,0.4115,72.29,alta,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,False,Observado,0.2768586387434555,151.14791666666676,51.0,1.0,51.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,True,exame_sem_notif_semana,integrated_weekly_surveillance,51.0,0.0,ALTO,utilizacao,Avaliar subutilização da rede e reforçar encaminhamento de amostras em 15 dias.,Vigilância municipal + LACEN,15 dias,1) Comparar exames×notificações; 2) Identificar subutilização; 3) Reforçar encaminhamento laboratorial,Derivado,0.9482,0.3,True,critica,cnes_estabelecimentos=1.76e+04 (imp=0.0355); cnes_leitos_total=1.12e+04 (imp=0.013); tests_ma4=55.8 (imp=0.572); tests_ma8=48.6 (imp=0.149); cnes_equipes_esf=879 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
CAMPO VERDE,10461.0,8.317361111111111,119.48055555555555,6.836111111111111,0.5826388888888889,0.2416346290758935,0.17024559598817024,0.4665037932364665,0.6472933007586473,0.027722015103718575,4547.0,0.0,0.4364783481502724,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,1.0,0.4347,1.0,0.2772,72.2,alta,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,89.0,2.0,44.5,False,estavel,False,2.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,True,exame_sem_notif_semana,integrated_weekly_surveillance,89.0,0.0,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.9208,0.3,True,critica,cnes_estabelecimentos=2.51e+03 (imp=0.0355); cnes_leitos_total=1.87e+03 (imp=0.013); tests_ma4=37.8 (imp=0.572); tests_ma8=34.9 (imp=0.149); cnes_equipes_esf=336 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
CAMPO NOVO DO PARECIS,21892.0,7.480555555555555,93.32708333333333,4.204166666666667,1.5583333333333333,0.3151041666666667,0.12698500832870627,0.48678511937812324,0.6330927262631871,0.05211949570619404,5968.0,0.0,0.5324319386077105,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,1.0,0.2726,1.0,0.5212,71.0,alta,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,False,Observado,0.2768586387434555,151.14791666666676,103.0,2.0,51.5,False,estavel,False,12.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,True,exame_sem_notif_semana,integrated_weekly_surveillance,103.0,0.0,ALTO,utilizacao,Avaliar subutilização da rede e reforçar encaminhamento de amostras em 15 dias.,Vigilância municipal + LACEN,15 dias,1) Comparar exames×notificações; 2) Identificar subutilização; 3) Reforçar encaminhamento laboratorial,Derivado,0.9263,0.3,True,critica,cnes_estabelecimentos=2.99e+03 (imp=0.0355); tests_ma4=52.5 (imp=0.572); cnes_leitos_total=828 (imp=0.013); tests_ma8=45.1 (imp=0.149); indice_pressao_proxy=60 (imp=0.0408),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
RONDONOPOLIS,8136.0,10.72048611111111,88.625,6.199305555555555,2.501388888888889,0.39308346912909653,0.1985759493670886,0.37041139240506327,0.5545886075949367,0.04633726647000983,3473.0,0.0,0.42551622418879054,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.8194,0.4269,1.0,0.4634,69.34,alta,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,False,Observado,0.2768586387434555,151.14791666666676,16.0,2.0,8.0,False,estavel,False,0.5,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"Monitorar tendência, validar positivos e articular resposta municipal em 48–72h.",CIEVS / Sala de Situação + vigilância municipal,48–72h,1) Revisar score de risco; 2) Validar exames/positivos; 3) Articular resposta municipal; 4) Reavaliar na próxima SE,Derivado,0.9387,0.3,True,critica,cnes_estabelecimentos=2.14e+04 (imp=0.0355); cnes_leitos_total=1.74e+04 (imp=0.013); tests_ma4=73.5 (imp=0.572); tests_ma8=78.1 (imp=0.149); cnes_equipes_esf=1.47e+03 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
SORRISO,35316.0,17.69375,102.32986111111111,8.903472222222222,5.5680555555555555,0.262541670054476,0.04296364343002509,0.2579938522418118,0.43751545772532946,0.040265035677879715,8872.0,0.0,0.5907803828293124,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,1.0,0.2512,1.0,0.4027,68.58,alta,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,217.0,3.0,72.333,False,estavel,False,6.5,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,True,exame_sem_notif_semana,integrated_weekly_surveillance,217.0,0.0,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.9718,0.3,True,critica,cnes_estabelecimentos=8.87e+03 (imp=0.0355); cnes_leitos_total=8.46e+03 (imp=0.013); tests_ma4=105 (imp=0.572); tests_ma8=88.2 (imp=0.149); cnes_equipes_esf=648 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
COLIDER,8899.0,11.555555555555555,92.41458333333334,6.036111111111111,4.499305555555556,0.3000506842372022,0.1250703432751829,0.3269555430500844,0.550365785030951,0.057984043150915834,2160.0,0.0,0.4328576244521856,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.8963,0.2427,1.0,0.5798,67.87,alta,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,False,Observado,0.2768586387434555,151.14791666666676,25.0,1.0,25.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,True,exame_sem_notif_semana,integrated_weekly_surveillance,25.0,0.0,ALTO,utilizacao,Avaliar subutilização da rede e reforçar encaminhamento de amostras em 15 dias.,Vigilância municipal + LACEN,15 dias,1) Comparar exames×notificações; 2) Identificar subutilização; 3) Reforçar encaminhamento laboratorial,Derivado,0.646,0.3,True,critica,cnes_estabelecimentos=1.97e+03 (imp=0.0355); cnes_leitos_total=2.92e+03 (imp=0.013); tests_ma4=10.5 (imp=0.572); tests_ma8=10.4 (imp=0.149); cnes_equipes_esf=192 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
