municipio,exames,tat_mediano_dias,tat_p90_dias,tat_lab_mediano_dias,logistica_mediana_dias,pct_liberado_48h,pct_liberado_48h_coleta,pct_liberado_7d,pct_liberado_14d,pct_rejeitado,backlog_estimado,pct_inconclusivo,pct_liberado,fonte,anos_referencia,interpretacao
CUIABA,96629,8.661111111111111,151.66638888888892,2.9319444444444445,3.588888888888889,0.42480253456557604,0.15125435858592454,0.4404032753059172,0.6222950648400872,0.0634074656676567,34944,0.0,0.5103540345030995,gal_lacen_microdados,>=2024,Rejeição elevada — capacitar coleta/envio de amostras
VARZEA GRANDE,62551,6.475694444444445,122.60368055555557,3.861111111111111,1.5854166666666667,0.36560273655512976,0.18804262036306235,0.5215732701920547,0.6473077260370078,0.11023005227734169,22465,0.0,0.3809851161452255,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
SORRISO,35316,17.69027777777778,102.32986111111111,8.830555555555556,5.5680555555555555,0.26267224909556525,0.043065074542499825,0.2581078216632516,0.4376104006217763,0.040265035677879715,8872,0.0,0.5907803828293124,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
SINOP,18737,10.5375,148.31805555555556,5.13125,4.440277777777778,0.3190685966016362,0.11,0.37324137931034485,0.5849655172413794,0.04114852964722207,6944,0.0,0.43128569141271283,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
CAMPO NOVO DO PARECIS,21892,7.467361111111111,93.32652777777777,4.2027777777777775,1.5583333333333333,0.3156859010982035,0.12758754647871692,0.48720794716687943,0.6334424773849825,0.05211949570619404,5968,0.0,0.5324319386077105,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
CACERES,16698,16.488888888888887,103.58611111111111,9.19375,2.657638888888889,0.32337867139759513,0.10037573805689748,0.36231884057971014,0.47573038877386703,0.08498023715415019,4729,0.0,0.5325188645346748,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
CAMPO VERDE,10461,8.307638888888889,119.48055555555555,6.836111111111111,0.5826388888888889,0.24185053380782917,0.1704589278827613,0.46664095642113385,0.647383982517033,0.027722015103718575,4547,0.0,0.4364783481502724,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
RONDONOPOLIS,8136,10.710069444444445,88.625,6.197222222222222,2.501388888888889,0.3934841628959276,0.19898766213223662,0.3707687440683328,0.554887693767795,0.04633726647000983,3473,0.0,0.42551622418879054,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
PONTES E LACERDA,8516,7.536111111111111,86.53194444444445,3.7972222222222225,1.6090277777777777,0.2587295690936107,0.15100350430073273,0.4756291812679197,0.6419241796750558,0.030883043682480037,3225,0.0,0.46923438233912634,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
LUCAS DO RIO VERDE,8050,9.477777777777778,95.39708333333336,4.233333333333333,3.5097222222222224,0.33178869323447635,0.12053793790469866,0.39183131329902043,0.5847584260335381,0.04236024844720497,3189,0.0,0.4683229813664596,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem
