familia,exames,n_municipios,tat_mediano_dias,tat_p90_dias,pct_liberado_48h,pct_liberado_48h_coleta,pct_liberado_7d,pct_rejeitado,backlog_estimado,granularidade,municipio,fonte,anos_referencia
arbovirose,295574,131,13.500694444444445,123.42361111111111,0.2295967366659736,0.07985376097425215,0.3160247273831311,0.05506573649915081,95308,familia,ESTADO_MT,gal_lacen_microdados,>=2024
tuberculose,60114,133,3.7083333333333335,105.21652777778397,0.7803662284666443,0.326738310440538,0.6673546366806633,0.06110057557307782,22320,familia,ESTADO_MT,gal_lacen_microdados,>=2024
outros,26712,129,8.497222222222222,146.38972222222233,0.45556045247539295,0.22225812706004006,0.4642926387901506,0.04469901168014376,7398,familia,ESTADO_MT,gal_lacen_microdados,>=2024
respiratorio,25913,129,3.6381944444444443,178.7826388888889,0.5702446273433928,0.2258963305646094,0.6414152034486384,0.2448192027167831,5857,familia,ESTADO_MT,gal_lacen_microdados,>=2024
hepatite,20606,128,8.654861111111112,149.7548611111111,0.3532469675715818,0.1793275217932752,0.41352281884111053,0.022032417742405126,7063,familia,ESTADO_MT,gal_lacen_microdados,>=2024
arbovirose,57114,1,12.507638888888888,210.7375,0.21044805709754164,0.04616079882930189,0.2792459326848584,0.03666351507511293,23347,municipio_familia,CUIABA,gal_lacen_microdados,>=2024
arbovirose,43794,1,7.719444444444444,147.42361111111111,0.2523644502202007,0.15298013245033112,0.47408187838651417,0.1164999771658218,16744,municipio_familia,VARZEA GRANDE,gal_lacen_microdados,>=2024
arbovirose,31591,1,19.632638888888888,102.32986111111111,0.24496914408371345,0.033027096173973716,0.24487343489553048,0.040359596087493274,7594,municipio_familia,SORRISO,gal_lacen_microdados,>=2024
tuberculose,21986,1,3.5319444444444446,95.420625,0.8607033543631707,0.3419631325584126,0.7328284607256076,0.06263076503229328,6924,municipio_familia,CUIABA,gal_lacen_microdados,>=2024
arbovirose,19161,1,7.555555555555555,92.33319444444444,0.2926794898893821,0.12152287381025484,0.4720294749769727,0.03731538019936329,5239,municipio_familia,CAMPO NOVO DO PARECIS,gal_lacen_microdados,>=2024
