target,municipio,epi_year,epi_week,tests,seasonal_mean_tests,seasonal_std_tests,recent_mean_tests,recent_std_tests,volume_threshold,volume_alert,positivity,seasonal_mean_positivity,recent_mean_positivity,positivity_threshold,positivity_alert,alert_score,alert_level,notificacoes,obitos_sim,incidencia_100k,mortalidade_100k,solicitacoes_100k,risco_composto,nivel_risco
sars_cov_2,TANGARA DA SERRA,2020,53,334,,0.0,1.0,0.0,1.0,True,0.3682634730538922,,1.0,1.0,False,334.0,alto,0.0,0.0,116.3549677895394,0.0,315.955766192733,3.25,alto_alerta
sars_cov_2,SORRISO,2020,53,296,,0.0,1.0,0.0,1.0,True,0.3006756756756756,,0.0,0.0,True,326.06756756756755,alto,0.0,0.0,95.93722040767929,0.0,319.0721038277873,1.6591109709742882,atencao
sars_cov_2,CUIABA,2020,53,225,,0.0,1.0,0.0,1.0,True,0.4355555555555555,,,,False,225.0,alto,0.0,0.0,15.854424031424115,0.0,36.40046333745333,2.789875,alerta
sars_cov_2,POCONE,2021,1,174,,0.0,1.0,0.0,1.0,True,0.1379310344827586,,1.0,1.0,False,174.0,alto,0.0,0.0,71.88641945725753,0.0,521.1765410651171,1.4004369486720276,atencao
sars_cov_2,COMODORO,2021,1,139,,0.0,,0.0,,True,0.6115107913669064,,,,False,139.0,alto,0.0,0.0,400.0188244152666,0.0,654.1484305143772,2.2924426258992803,alerta
sars_cov_2,APIACAS,2021,1,138,,0.0,,0.0,,True,0.5072463768115942,,,,False,138.0,alto,0.0,0.0,671.076598600326,0.0,1322.9795800977854,2.3938755411831667,alerta
sars_cov_2,BARRA DO GARCAS,2020,53,79,,0.0,1.0,0.0,1.0,True,0.5189873417721519,,0.0,0.0,True,130.8987341772152,alto,0.0,0.0,67.06469289277828,0.0,129.22221313486546,2.461823086196504,alerta
sars_cov_2,NOVA MONTE VERDE,2021,1,65,,0.0,1.0,0.0,1.0,True,0.5538461538461539,,0.0,0.0,True,120.3846153846154,alto,0.0,0.0,384.0,0.0,693.3333333333333,0.9278081171829469,habitual
sars_cov_2,CACERES,2020,53,78,,0.0,1.0,0.0,1.0,True,0.4102564102564102,,0.0,0.0,True,119.02564102564102,alto,0.0,0.0,33.73356806274443,0.0,82.22557215293956,2.653659241272522,alerta
bacterias_teste_de_sensibilidade,GUARANTA DO NORTE,2025,14,6,,0.0,1.0,0.0,1.0,True,1.0,,0.0,0.0,True,106.0,alto,,,,,,,
