municipio,target,epi_year,epi_week,metric,valor_atual,baseline_ma8,z_proxy,tipo_anomalia,severidade,acao_sugerida,modelo_versao
CAMPO VERDE,influenza_b,2025,30,positividade,1.0,0.125,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
COLNIZA,zika,2025,31,positividade,0.2,0.025,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
CUIABA,rifampicina,2026,20,positividade,0.5,0.0625,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
CUIABA,sarampo_igg,2025,46,positividade,1.0,0.125,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
FELIZ NATAL,zika,2025,24,positividade,0.2,0.025,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
LUCAS DO RIO VERDE,virus_respiratorios,2025,35,positividade,1.0,0.125,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
CAMPO VERDE,influenza_b,2025,30,incidencia_100k,2.0386112979838136,0.2548264122479767,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
COLNIZA,zika,2025,31,incidencia_100k,3.8423115346192263,0.4802889418274033,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
FELIZ NATAL,zika,2025,24,incidencia_100k,19.00598688586905,2.375748360733631,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
LUCAS DO RIO VERDE,virus_respiratorios,2025,35,incidencia_100k,1.0439285117755135,0.1304910639719392,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
CAMPINAPOLIS,tuberculose_cultura,2025,28,notificacoes,1.0,0.125,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
NOVA LACERDA,zika,2025,21,notificacoes,2.0,0.25,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
NOVA OLIMPIA,zika,2026,13,notificacoes,1.0,0.125,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
SAPEZAL,zika,2025,35,notificacoes,1.0,0.125,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
SORRISO,zika,2025,35,notificacoes,1.0,0.125,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
VERA,zika,2025,31,notificacoes,1.0,0.125,7.0,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
NOVA LACERDA,dengue,2025,23,positividade,0.3333333333333333,0.041666666666666664,6.999999999999999,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
VILA BELA DA SANTISSIMA TRINDADE,zika,2026,14,positividade,0.3333333333333333,0.041666666666666664,6.999999999999999,alta_atipica,alta,Investigar pico atípico e validar capacidade laboratorial/vigilância.,baseline_v1
