municipio,familia,epi_year,epi_week,prob_pressao_alta_proxima_janela,limiar_operacional,acima_limiar,faixa_pressao_predita,indice_pressao_proxy_atual,tests,drivers,tipo_sinal,metodo,modelo_versao
JUINA,hepatite,2026,36,0.9515,0.35,True,critica,40.0,49,tests_ma8=40.2 (imp=0.486); tests_ma4=41 (imp=0.306); tests_lag1=59 (imp=0.0495); tests=49 (imp=0.0458); indice_pressao_proxy=40 (imp=0.0338),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
GUARANTA DO NORTE,hepatite,2026,36,0.9449,0.35,True,critica,21.05,7,tests_ma8=21.2 (imp=0.486); tests_ma4=30.2 (imp=0.306); tests_lag1=25 (imp=0.0495); indice_pressao_proxy=21.1 (imp=0.0338); tests=7 (imp=0.0458),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,respiratorio,2026,37,0.9438,0.35,True,critica,40.0,9,tests_ma8=20.9 (imp=0.212); indice_pressao_proxy=40 (imp=0.0587); tests_ma4=23 (imp=0.0783); tests_lag1=24 (imp=0.0454); tests_pct_estadual=1 (imp=0.468),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CUIABA,tuberculose,2026,36,0.9366,0.25,True,critica,60.0,104,tests_ma4=130 (imp=0.466); tests_ma8=117 (imp=0.272); tests_lag1=134 (imp=0.0179); tests=104 (imp=0.0222); indice_pressao_proxy=60 (imp=0.024),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CUIABA,hepatite,2026,36,0.9201,0.35,True,critica,40.0,16,tests_ma8=20.6 (imp=0.486); tests_ma4=20.5 (imp=0.306); tests_lag1=28 (imp=0.0495); indice_pressao_proxy=40 (imp=0.0338); tests=16 (imp=0.0458),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
LUCAS DO RIO VERDE,arbovirose,2026,36,0.9194,0.44999999999999996,True,critica,32.54,29,tests_ma4=60.2 (imp=0.379); tests_ma8=54.5 (imp=0.0883); tests_lag1=49 (imp=0.0273); tests=29 (imp=0.0167); indice_pressao_proxy=32.5 (imp=0.0141),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,tuberculose,2026,36,0.9151,0.25,True,critica,60.0,44,tests_ma4=54.5 (imp=0.466); tests_ma8=50 (imp=0.272); indice_pressao_proxy=60 (imp=0.024); tests_lag1=63 (imp=0.0179); tests=44 (imp=0.0222),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
RONDONOPOLIS,tuberculose,2026,36,0.9131,0.25,True,critica,20.71,19,tests_ma4=25.2 (imp=0.466); tests_ma8=37.2 (imp=0.272); indice_pressao_proxy=20.7 (imp=0.024); tests=19 (imp=0.0222); tests_trend=-12 (imp=0.0303),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,arbovirose,2026,36,0.9098,0.44999999999999996,True,critica,40.0,52,tests_ma4=46.8 (imp=0.379); tests_ma8=40.2 (imp=0.0883); tests_lag1=47 (imp=0.0273); tests=52 (imp=0.0167); indice_pressao_proxy=40 (imp=0.0141),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CUIABA,outros,2026,36,0.8822,0.39999999999999997,True,critica,33.68,45,tests_ma8=27.2 (imp=0.594); tests_ma4=30.5 (imp=0.0884); indice_pressao_proxy=33.7 (imp=0.0767); tests=45 (imp=0.0338); tests_lag1=20 (imp=0.0272),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SINOP,outros,2026,36,0.8328,0.39999999999999997,True,critica,40.0,63,tests_ma8=17.5 (imp=0.594); indice_pressao_proxy=40 (imp=0.0767); tests_ma4=28.2 (imp=0.0884); tests=63 (imp=0.0338); tests_lag1=18 (imp=0.0272),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CUIABA,arbovirose,2026,36,0.8211,0.44999999999999996,True,critica,40.0,36,tests_ma4=21.5 (imp=0.379); tests_ma8=18.4 (imp=0.0883); tests=36 (imp=0.0167); indice_pressao_proxy=40 (imp=0.0141); tests_pct_estadual=0.955 (imp=0.414),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TANGARA DA SERRA,tuberculose,2026,36,0.8109,0.25,True,critica,40.0,43,tests_ma4=26.2 (imp=0.466); tests_ma8=17.9 (imp=0.272); indice_pressao_proxy=40 (imp=0.024); tests=43 (imp=0.0222); tests_trend=8.38 (imp=0.0303),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CACERES,outros,2026,36,0.7896,0.39999999999999997,True,critica,40.0,58,tests_ma8=15.9 (imp=0.594); indice_pressao_proxy=40 (imp=0.0767); tests_ma4=27.5 (imp=0.0884); tests=58 (imp=0.0338); tests_trend=11.6 (imp=0.0302),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SINOP,tuberculose,2026,36,0.7759,0.25,True,critica,27.25,25,tests_ma4=41 (imp=0.466); tests_ma8=32.4 (imp=0.272); tests_lag1=39 (imp=0.0179); indice_pressao_proxy=27.2 (imp=0.024); tests=25 (imp=0.0222),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TERRA NOVA DO NORTE,hepatite,2026,36,0.7636,0.35,True,critica,6.02,2,tests_ma8=9.12 (imp=0.486); tests_ma4=10.8 (imp=0.306); tests_lag1=27 (imp=0.0495); indice_pressao_proxy=6.02 (imp=0.0338); tests=2 (imp=0.0458),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SORRISO,arbovirose,2026,36,0.6829,0.44999999999999996,True,critica,21.32,19,tests_ma4=23.2 (imp=0.379); tests_ma8=19.9 (imp=0.0883); tests_lag1=29 (imp=0.0273); tests_pct_estadual=0.864 (imp=0.414); tests=19 (imp=0.0167),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VARZEA GRANDE,outros,2026,36,0.682,0.39999999999999997,True,critica,30.68,41,tests_ma8=21.5 (imp=0.594); indice_pressao_proxy=30.7 (imp=0.0767); tests_ma4=25.5 (imp=0.0884); tests=41 (imp=0.0338); tests_lag1=24 (imp=0.0272),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TOLEDO,hepatite,2026,35,0.6757,0.35,True,critica,17.71,12,tests=12 (imp=0.0458); tests_lag1=nan (imp=0.0495); tests_ma4=nan (imp=0.306); tests_ma8=nan (imp=0.486); tests_trend=nan (imp=0.0213),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
LUCAS DO RIO VERDE,respiratorio,2026,36,0.6652,0.35,True,critica,12.66,5,tests_ma8=8.88 (imp=0.212); tests_ma4=9.75 (imp=0.0783); indice_pressao_proxy=12.7 (imp=0.0587); tests_pct_estadual=0.931 (imp=0.468); tests_lag1=5 (imp=0.0454),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
