municipio,target,epi_year,epi_week,familia,prob_alerta_proxima_janela,limiar_operacional,acima_limiar,faixa_predita,drivers,tipo_sinal,acao_sugerida,metodo,modelo_versao,risco_composto,positividade,tests,banda_absoluta,percentil_estadual,banda_percentil,banda_risco,criterio_banda,legenda_banda
CUIABA,hepatite_b_hbv,2026,30,hepatite,0.9495,0.6,True,muito_alto,cnes_estabelecimentos=5.25e+04 (imp=0.00855); cnes_leitos_total=6.2e+04 (imp=0.00207); cnes_equipes_esf=3.31e+03 (imp=0.0122); tests_ma8=15.4 (imp=0.174); positividade_ma8=0.825 (imp=0.617),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.7612,1.0,21,Alto,100.0,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
VARZEA GRANDE,hepatite_b_hbv,2026,30,hepatite,0.9361,0.6,True,muito_alto,cnes_estabelecimentos=6.79e+03 (imp=0.00855); cnes_equipes_esf=3.05e+03 (imp=0.0122); cnes_leitos_total=1.51e+04 (imp=0.00207); tests_ma8=4.25 (imp=0.174); positividade_ma8=1 (imp=0.617),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.1349,1.0,1,Alto,99.8,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JUINA,hepatite_b_hbv,2026,30,hepatite,0.9354,0.6,True,muito_alto,cnes_estabelecimentos=2.65e+03 (imp=0.00855); cnes_leitos_total=3.02e+03 (imp=0.00207); tests_ma8=24.9 (imp=0.174); cnes_equipes_esf=288 (imp=0.0122); positividade_ma8=0.677 (imp=0.617),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.6507,0.5217391304347826,46,Alto,99.5,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PRIMAVERA DO LESTE,hepatite_b_hbv,2026,28,hepatite,0.9351,0.6,True,muito_alto,cnes_estabelecimentos=5.58e+03 (imp=0.00855); cnes_leitos_total=5.96e+03 (imp=0.00207); cnes_equipes_esf=408 (imp=0.0122); tests_ma8=8.12 (imp=0.174); positividade_ma8=1 (imp=0.617),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.7559,1.0,5,Alto,99.3,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
RONDONOPOLIS,hepatite_b_hbv,2026,29,hepatite,0.9322,0.6,True,muito_alto,cnes_estabelecimentos=2.14e+04 (imp=0.00855); cnes_leitos_total=1.74e+04 (imp=0.00207); cnes_equipes_esf=1.47e+03 (imp=0.0122); tests_ma8=4.12 (imp=0.174); positividade_ma8=0.975 (imp=0.617),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.1349,1.0,4,Alto,99.0,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
COTRIGUACU,hepatite_b_hbv,2026,23,hepatite,0.9315,0.6,True,muito_alto,cnes_estabelecimentos=432 (imp=0.00855); cnes_leitos_total=816 (imp=0.00207); cnes_equipes_esf=120 (imp=0.0122); tests_ma8=5.25 (imp=0.174); positividade_ma8=0.663 (imp=0.617),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.282,1.0,1,Alto,98.6,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ALTA FLORESTA,hepatite_b_hbv,2026,28,hepatite,0.9315,0.6,True,muito_alto,cnes_estabelecimentos=5.44e+03 (imp=0.00855); cnes_leitos_total=5.08e+03 (imp=0.00207); cnes_equipes_esf=408 (imp=0.0122); positividade_ma8=1 (imp=0.617); tests_ma8=3.25 (imp=0.174),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.1349,1.0,1,Alto,98.6,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
CASTANHEIRA,hepatite_b_hbv,2026,30,hepatite,0.9292,0.6,True,muito_alto,cnes_estabelecimentos=429 (imp=0.00855); tests_ma8=7.88 (imp=0.174); cnes_equipes_esf=72 (imp=0.0122); positividade_ma8=0.663 (imp=0.617); tests_trend=-4.12 (imp=0.0184),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.1349,1.0,1,Alto,98.3,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
SORRISO,hepatite_b_hbv,2026,30,hepatite,0.9266,0.6,True,muito_alto,cnes_estabelecimentos=8.87e+03 (imp=0.00855); cnes_leitos_total=8.46e+03 (imp=0.00207); cnes_equipes_esf=648 (imp=0.0122); tests_ma8=7.38 (imp=0.174); positividade_ma8=0.986 (imp=0.617),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.8937,1.0,13,Alto,98.0,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
SERRA NOVA DOURADA,hepatite_b_hbv,2026,22,hepatite,0.926,0.6,True,muito_alto,cnes_estabelecimentos=178 (imp=0.00855); tests_ma8=3.86 (imp=0.174); positividade_ma8=0.643 (imp=0.617); cnes_equipes_esf=24 (imp=0.0122); indice_vulnerabilidade=0.828 (imp=0.0453),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.2287,1.0,2,Alto,97.8,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
TERRA NOVA DO NORTE,hepatite_b_hbv,2026,30,hepatite,0.9256,0.6,True,muito_alto,cnes_estabelecimentos=480 (imp=0.00855); cnes_leitos_total=826 (imp=0.00207); cnes_equipes_esf=96 (imp=0.0122); tests_ma8=4.62 (imp=0.174); positividade_ma8=0.885 (imp=0.617),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,1.0,1.0,3,Alto,97.5,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
