municipio,target,epi_year,epi_week,prob_silencio_proxima_janela,limiar_operacional,acima_limiar,tests_ultima_semana,tests_ma8,notificacoes_ultima_semana,semanas_sem_exame,faixa_silencio_predita,tipo_sinal,acao_sugerida,metodo,modelo_versao
COCALINHO,influenza,2026,15,0.9168,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
COCALINHO,sars_cov_2,2026,18,0.9168,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
POCONE,hepatite,2026,18,0.801,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
PONTE BRANCA,tuberculose,2026,28,0.7864,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
CARLINDA,influenza,2026,24,0.7822,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
CARLINDA,herpes_simples_fungos,2026,29,0.7822,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
CARLINDA,herpes_simples_fungos_teste_de_sensibilidade,2026,29,0.7822,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
CARLINDA,herpes_simples_cultura_para_fungos,2026,29,0.7822,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
CARLINDA,hepatite_c_hcv,2026,11,0.7822,0.1,True,2,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
INDIAVAI,raiva_raiva,2026,28,0.7766,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
INDIAVAI,intoxica_o_ex_gena_por_subst_ncias_qu_micas_incluindo_agrot_xicos_gases_t_xicos_,2026,28,0.7766,0.1,True,2,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
TORIXOREU,dengue,2026,22,0.7653,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
NOVA UBIRATA,hiv,2026,25,0.7616,0.1,True,1,0.0,0.0,4.0,silencio_critico,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
ALTO BOA VISTA,bacteremia_bact_rias_identifica_o,2026,11,0.7351,0.1,True,1,0.0,0.0,4.0,silencio_provavel,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
ALTO BOA VISTA,bacteremia_bact_rias_teste_de_sensibilidade,2026,11,0.7351,0.1,True,1,0.0,0.0,4.0,silencio_provavel,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
ALTO BOA VISTA,toxoplasmose_toxoplasmose_avidez_igg,2026,19,0.7351,0.1,True,1,0.0,0.0,4.0,silencio_provavel,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
ALTO BOA VISTA,toxoplasmose_toxoplasmose_igg,2026,19,0.7351,0.1,True,1,0.0,0.0,4.0,silencio_provavel,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
ALTO BOA VISTA,toxoplasmose_toxoplasmose_igm,2026,19,0.7351,0.1,True,1,0.0,0.0,4.0,silencio_provavel,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
ALTO BOA VISTA,bacteremia_bact_rias_cultura,2026,34,0.7351,0.1,True,1,0.0,0.0,4.0,silencio_provavel,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
ALTO BOA VISTA,citomegalov_rus_pesquisa_qualitativa_do_dna_do_citomegalov_rus,2026,19,0.7351,0.1,True,1,0.0,0.0,4.0,silencio_provavel,predito,Busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal.,sklearn_gb_v2,sklearn_v2
