municipio,codigo_ibge,latitude,longitude,idh,gini,extrema_pobreza_pct,pea_2010,idh_inv,pea_inv,idh_inv_z,gini_z,extrema_pobreza_pct_z,pea_inv_z,indice_vulnerabilidade
ACORIZAL,5100102.0,-15.1969,-56.3625,0.628,0.49,4.21,1700.0,0.372,0.8074074074074074,1.630041666666674,-1.01175,0.03645945945945949,0.8852812499999996,0.38500809403153324
AGUA BOA,5100201.0,-14.3571,-52.1585,0.729,0.52,2.54,9672.0,0.271,0.19999999999999996,-1.208479166666669,0.0,-0.7246317567567567,-0.8431250000000002,-0.6940589808558565
ALTA FLORESTA,5100250.0,-98.7532,-5.6086,0.714,0.51,3.89,24047.0,0.28600000000000003,0.06666666666666665,-0.7869166666666672,-0.33725,-0.10937837837837827,-1.22253125,-0.6140190737612614
ALTO ARAGUAIA,5100300.0,-17.3148,-53.2155,0.704,0.55,1.78,7892.0,0.29600000000000004,0.2666666666666667,-0.5058749999999992,1.01175,-1.0709966216216216,-0.6534218749999999,-0.30463587415540516
ALTO BOA VISTA,5100359.0,-11.6749,-51.3934,0.651,0.54,16.2,2031.0,0.349,0.762962962962963,0.9836458333333379,0.6745,5.5008209459459465,0.7588124999999998,1.979444819819821
ALTO GARCAS,5100409.0,-16.9454,-53.5284,0.701,0.53,1.45,5007.0,0.29900000000000004,0.437037037037037,-0.42156249999999884,0.33725,-1.2213918918918918,-0.16862500000000022,-0.36858234797297273
ALTO PARAGUAI,5100508.0,-14.5152,-56.4839,0.638,0.47,8.98,3246.0,0.362,0.6,1.3490000000000062,-1.6862500000000002,2.21035472972973,0.29509374999999977,0.542049619932434
ALTO TAQUARI,5100607.0,-17.8247,-53.2847,0.705,0.48,0.94,4211.0,0.29500000000000004,0.5333333333333333,-0.533979166666666,-1.349,-1.453820945945946,0.10539062499999982,-0.8078523719031531
APIACAS,5100805.0,-95.4452,-5.7442,0.675,0.5,5.33,4486.0,0.32499999999999996,0.5037037037037038,0.3091458333333348,-0.6745,0.546891891891892,0.021078125000000027,0.05065396255630671
ARAGUAIANA,5101001.0,-15.7337,-51.8324,0.687,0.49,3.12,1426.0,0.31299999999999994,0.8666666666666667,-0.028104166666666798,-1.01175,-0.4603006756756756,1.0539062499999998,-0.11156214808558562
ARAGUAINHA,5101209.0,-16.8559,-53.0315,0.701,0.52,2.87,484.0,0.29900000000000004,0.9925925925925926,-0.42156249999999884,0.0,-0.5742364864864864,1.4122343749999997,0.10410884712837862
ARAPUTANGA,5101258.0,-15.4673,-58.3516,0.725,0.51,2.65,7291.0,0.275,0.28888888888888886,-1.096062500000002,-0.33725,-0.6745,-0.5901875000000002,-0.6745000000000005
ARENAPOLIS,5101308.0,-14.4503,-56.8459,0.704,0.49,4.11,4990.0,0.29600000000000004,0.4444444444444444,-0.5058749999999992,-1.01175,-0.00911486486486467,-0.1475468750000002,-0.418571684966216
ARIPUANA,5101407.0,-10.1656,-59.4566,0.675,0.55,7.02,6887.0,0.32499999999999996,0.32592592592592595,0.3091458333333348,1.01175,1.3170979729729728,-0.48479687500000007,0.5382992328265769
BARAO DE MELGACO,5101605.0,-1.6195,-55.9679,0.06,0.52,10.15,2447.0,0.94,0.6888888888888889,17.593208333333397,0.0,2.743574324324325,0.5480312499999997,5.221203476914431
BARRA DO BUGRES,5101704.0,-15.0744,-57.1812,0.693,0.56,4.02,14275.0,0.30700000000000005,0.1333333333333333,-0.19672916666666443,1.349,-0.05013175675675691,-1.0328281250000002,0.0173277378941446
BARRA DO GARCAS,5101803.0,-15.8901,-52.2566,0.748,0.55,3.16,24019.0,0.252,0.07407407407407407,-1.742458333333338,1.01175,-0.44207094594594587,-1.201453125,-0.593558101069821
BOM JESUS DO ARAGUAIA,5101852.0,-12.1818,-51.6961,0.661,0.53,11.45,2484.0,0.33899999999999997,0.674074074074074,0.70260416666667,0.33725,3.3360405405405404,0.5058749999999997,1.2204424268018026
BRASNORTE,5101902.0,-12.1549,-57.9818,0.696,0.51,3.99,7859.0,0.30400000000000005,0.274074074074074,-0.28104166666666486,-0.33725,-0.0638040540540539,-0.6323437500000003,-0.32860986768017975
CACERES,5102504.0,-16.0706,-57.6791,0.708,0.57,5.6,36980.0,0.29200000000000004,0.03703703703703709,-0.6182916666666664,1.6862499999999963,0.6699425675675674,-1.3068437499999999,0.10776428772522434
CAMPINAPOLIS,5102603.0,-14.5029,-52.8875,0.538,0.63,11.21,4384.0,0.46199999999999997,0.5185185185185186,4.159416666666683,3.7097499999999957,3.2266621621621625,0.06323437500000009,2.7897658009572104
CAMPO NOVO DO PARECIS,5102637.0,-13.6745,-57.8863,0.734,0.5,1.48,13727.0,0.266,0.14814814814814814,-1.349000000000003,-0.6745,-1.2077195945945944,-0.9906718750000001,-1.0554728673986493
CAMPO VERDE,5102678.0,-15.5458,-55.1687,0.75,0.53,1.67,16557.0,0.25,0.10370370370370374,-1.798666666666672,0.33725,-1.1211283783783783,-1.117140625,-0.9249214175112626
CAMPOS DE JULIO,5102686.0,-13.5273,-59.0886,0.744,0.49,1.01,2595.0,0.256,0.6592592592592592,-1.630041666666671,-1.01175,-1.4219189189189188,0.46371874999999974,-0.8999979588963973
CANABRAVA DO NORTE,5102694.0,-11.0201,-51.8315,0.667,0.5,11.23,2091.0,0.33299999999999996,0.7481481481481482,0.5339791666666691,-0.6745,3.2357770270270274,0.7166562500000001,0.9529781109234242
CANARANA,5102702.0,-1.3555,-52.2709,0.693,0.54,3.01,9188.0,0.30700000000000005,0.2222222222222222,-0.19672916666666443,0.6745,-0.5104324324324325,-0.7798906250000002,-0.20313805602477428
CARLINDA,5102793.0,-99.6765,-55.8336,0.665,0.49,7.32,5334.0,0.33499999999999996,0.40740740740740744,0.5901875000000028,-1.01175,1.4538209459459461,-0.25293750000000004,0.19483023648648723
CASTANHEIRA,5102850.0,-11.1396,-58.6013,0.665,0.5,3.65,3966.0,0.33499999999999996,0.5555555555555556,0.5901875000000028,-0.6745,-0.21875675675675677,0.1686249999999999,-0.03361106418918852
