municipio,vizinho,dist_km,rank_vizinho
ACORIZAL,JANGADA,14.38,1
ACORIZAL,ROSARIO OESTE,40.73,2
ACORIZAL,NOVA BRASILANDIA,49.56,3
ACORIZAL,CUIABA,52.75,4
ACORIZAL,NOBRES,53.07,5
ACORIZAL,VARZEA GRANDE,55.75,6
AGUA BOA,NOVA XAVANTINA,40.91,1
AGUA BOA,CAMPINAPOLIS,80.16,2
AGUA BOA,NOVO SAO JOAQUIM,110.99,3
ALTO ARAGUAIA,ALTO GARCAS,52.85,1
ALTO ARAGUAIA,ARAGUAINHA,54.65,2
ALTO ARAGUAIA,ALTO TAQUARI,57.17,3
ALTO ARAGUAIA,PONTE BRANCA,73.62,4
ALTO ARAGUAIA,ITIQUIRA,99.36,5
ALTO BOA VISTA,SERRA NOVA DOURADA,49.63,1
ALTO BOA VISTA,BOM JESUS DO ARAGUAIA,65.28,2
ALTO BOA VISTA,CANABRAVA DO NORTE,87.08,3
ALTO BOA VISTA,SANTA CRUZ DO XINGU,92.31,4
ALTO BOA VISTA,PORTO ALEGRE DO NORTE,93.07,5
ALTO GARCAS,ALTO ARAGUAIA,52.85,1
ALTO GARCAS,ARAGUAINHA,53.79,2
ALTO GARCAS,GUIRATINGA,71.08,3
ALTO GARCAS,ITIQUIRA,71.64,4
ALTO GARCAS,PONTE BRANCA,76.67,5
ALTO GARCAS,TESOURO,95.97,6
ALTO PARAGUAI,DIAMANTINO,12.6,1
ALTO PARAGUAI,NOVA MARILANDIA,20.19,2
ALTO PARAGUAI,NOBRES,28.34,3
ALTO PARAGUAI,ROSARIO OESTE,36.19,4
ALTO PARAGUAI,NORTELANDIA,36.23,5
ALTO PARAGUAI,ARENAPOLIS,39.64,6
ALTO TAQUARI,ALTO ARAGUAIA,57.17,1
ALTO TAQUARI,ALTO GARCAS,101.14,2
ALTO TAQUARI,ARAGUAINHA,111.03,3
ALTO TAQUARI,ITIQUIRA,114.15,4
ARAGUAIANA,PONTAL DO ARAGUAIA,22.36,1
ARAGUAIANA,BARRA DO GARCAS,48.6,2
ARAGUAIANA,TORIXOREU,93.56,3
ARAGUAIANA,GENERAL CARNEIRO,98.67,4
ARAGUAINHA,PONTE BRANCA,23.47,1
ARAGUAINHA,ALTO GARCAS,53.79,2
ARAGUAINHA,ALTO ARAGUAIA,54.65,3
ARAGUAINHA,TORIXOREU,88.13,4
ARAGUAINHA,GUIRATINGA,96.09,5
ARAGUAINHA,TESOURO,102.15,6
ARAPUTANGA,SAO JOSE DOS QUATRO MARCOS,25.89,1
ARAPUTANGA,GLORIA D'OESTE,32.22,2
ARAPUTANGA,RIO BRANCO,34.61,3
ARAPUTANGA,FIGUEIROPOLIS D'OESTE,41.42,4
ARAPUTANGA,SALTO DO CEU,43.25,5
ARAPUTANGA,PORTO ESPERIDIAO,44.43,6
ARENAPOLIS,NORTELANDIA,5.75,1
ARENAPOLIS,NOVA MARILANDIA,38.29,2
ARENAPOLIS,DENISE,39.13,3
ARENAPOLIS,ALTO PARAGUAI,39.64,4
ARENAPOLIS,SANTO AFONSO,40.39,5
ARENAPOLIS,DIAMANTINO,43.29,6
BARRA DO BUGRES,PORTO ESTRELA,28.51,1
BARRA DO BUGRES,NOVA OLIMPIA,32.95,2
BARRA DO BUGRES,DENISE,39.72,3
BARRA DO BUGRES,SANTO AFONSO,49.5,4
BARRA DO BUGRES,TANGARA DA SERRA,60.47,5
BARRA DO BUGRES,JANGADA,76.51,6
BARRA DO GARCAS,PONTAL DO ARAGUAIA,26.82,1
BARRA DO GARCAS,TORIXOREU,47.63,2
