municipio,codigo_ibge,latitude,longitude,idh,gini,extrema_pobreza_pct,pea_2010,idh_inv,pea_inv,idh_inv_z,gini_z,extrema_pobreza_pct_z,pea_inv_z,indice_vulnerabilidade,populacao,tests_recent,notif_recent,positives_recent,alvos_recent,tests_hist,notif_hist,semanas_hist,classificacao_silencio,tipo_sinal,score_silencio,target,vizinhos_em_alerta,n_vizinhos,silencio_com_vizinho_alerta,motivo_territorial,sinal,acao_sugerida,responsavel,prazo_acao,checklist_operacional
COCALINHO,5103106.0,-14.3949,-50.9859,0.66,0.6,9.15,2630.0,0.3399999999999999,0.6518518518518519,0.7307083333333366,2.6979999999999964,2.287831081081081,0.442640625,1.5397950098536035,6495,0.0,0.0,0.0,0.0,769.0,0.0,124.0,silencio_critico,silencio_critico,4.0,,0,,False,,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
MIRASSOL D'OESTE,5105903.0,,,0.704,0.51,3.21,,0.296,,-0.5058749999999992,-0.33725,-0.4192837837837838,0.0,-0.3156021959459457,27637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,silencio_provavel,silencio_provavel,4.0,,0,,False,,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
POXOREU,5107040.0,-15.8361,-54.3879,0.678,0.57,4.12,6533.0,0.3219999999999999,0.3481481481481481,0.2248333333333343,1.6862499999999965,-0.0045574324324323,-0.4215625000000002,0.3712408502252245,25103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,silencio_critico,silencio_critico,5.5,,2,6.0,True,Silêncio com vizinho(s) em alerta — possível falha de captação no cluster,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
SANTA TEREZINHA,5107776.0,-10.4681,-50.5137,0.609,0.52,14.2,2739.0,0.391,0.6296296296296297,2.1640208333333435,0.0,4.589334459459459,0.3794062499999999,1.7831903856982003,7737,0.0,0.0,0.0,0.0,478.0,0.0,113.0,silencio_critico,silencio_critico,5.5,,2,2.0,True,Silêncio com vizinho(s) em alerta — possível falha de captação no cluster,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
NOVA CANAA DO NORTE,5106216.0,-10.6865,-55.9574,0.686,0.5,5.43,5885.0,0.3139999999999999,0.3777777777777777,0.0,-0.6745,0.5924662162162162,-0.3372500000000001,-0.1048209459459459,11734,0.0,0.0,0.0,0.0,2381.0,4.0,193.0,silencio_critico,silencio_critico,5.0,,3,5.0,True,Silêncio com vizinho(s) em alerta — possível falha de captação no cluster,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
RONDOLANDIA,5107578.0,-96.9707,-61.2829,0.64,0.53,11.8,1637.0,0.36,0.825925925925926,1.2927916666666726,0.33725,3.495550675675676,0.9379765624999998,1.5158922262105872,3518,0.0,0.0,0.0,0.0,2.0,0.0,1.0,silencio_provavel,silencio_provavel,3.5,,0,,False,,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
CONQUISTA D'OESTE,5103379.0,-14.6545,-59.5698,0.718,0.45,2.51,,0.282,,-0.8993333333333343,-2.360749999999998,-0.7383040540540542,0.0,-0.9995968468468466,3908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,silencio_critico,silencio_critico,4.0,,1,3.0,True,Silêncio com vizinho(s) em alerta — possível falha de captação no cluster,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
FIGUEIROPOLIS D'OESTE,5103858.0,-15.4382,-58.7369,0.679,0.47,3.98,,0.3209999999999999,,0.1967291666666676,-1.6862500000000002,-0.0683614864864864,0.0,-0.3894705799549548,3056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,silencio_critico,silencio_critico,4.0,,1,6.0,True,Silêncio com vizinho(s) em alerta — possível falha de captação no cluster,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
LAMBARI D'OESTE,5105309.0,-1.5295,-58.0101,0.627,0.48,5.34,,0.373,,1.658145833333341,-1.349,0.5514493243243244,0.0,0.2151487894144163,4662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,silencio_moderado,silencio_moderado,2.5,,0,,False,,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
PONTAL DO ARAGUAIA,5106802.0,-15.8361,-52.0122,0.734,0.52,2.98,2631.0,0.266,0.6444444444444444,-1.349000000000003,0.0,-0.5241047297297297,0.4215624999999997,-0.3628855574324333,7441,0.0,0.0,0.0,0.0,544.0,1.0,86.0,silencio_critico,silencio_critico,4.0,,1,4.0,True,Silêncio com vizinho(s) em alerta — possível falha de captação no cluster,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
ARAGUAIANA,5101001.0,-15.7337,-51.8324,0.687,0.49,3.12,1426.0,0.3129999999999999,0.8666666666666667,-0.0281041666666667,-1.01175,-0.4603006756756756,1.0539062499999998,-0.1115621480855856,4005,0.0,0.0,0.0,0.0,29.0,0.0,20.0,silencio_critico,silencio_critico,3.5,,1,4.0,True,Silêncio com vizinho(s) em alerta — possível falha de captação no cluster,silencio_laboratorial,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta
