municipio,ano,populacao
ACORIZAL,2019,5334
AGUA BOA,2019,26204
ALTA FLORESTA,2019,51959
ALTO ARAGUAIA,2019,19385
ALTO BOA VISTA,2019,6936
ALTO GARCAS,2019,12151
ALTO PARAGUAI,2019,11473
ALTO TAQUARI,2019,11133
APIACAS,2019,10283
ARAGUAIANA,2019,3109
ARAGUAINHA,2019,946
ARAPUTANGA,2019,16951
ARENAPOLIS,2019,9502
ARIPUANA,2019,22714
BARAO DE MELGACO,2019,8164
BARRA DO BUGRES,2019,35307
BARRA DO GARCAS,2019,61135
BOM JESUS DO ARAGUAIA,2019,6706
BRASNORTE,2019,20140
CACERES,2019,94861
CAMPINAPOLIS,2019,16919
CAMPO NOVO DO PARECIS,2019,36143
CAMPOS DE JULIO,2019,7070
CAMPO VERDE,2019,45740
CANABRAVA DO NORTE,2019,4728
CANARANA,2019,21842
CARLINDA,2019,10199
CASTANHEIRA,2019,8749
CHAPADA DOS GUIMARAES,2019,19453
CLAUDIA,2019,12245
COCALINHO,2019,5681
COLIDER,2019,33649
COLNIZA,2019,39861
COMODORO,2019,21008
CONFRESA,2019,31510
CONQUISTA D'OESTE,2019,4101
COTRIGUACU,2019,20238
CUIABA,2019,618124
CURVELANDIA,2019,5241
DENISE,2019,9544
DIAMANTINO,2019,22178
DOM AQUINO,2019,8159
FELIZ NATAL,2019,14522
FIGUEIROPOLIS D'OESTE,2019,3452
GAUCHA DO NORTE,2019,7782
GENERAL CARNEIRO,2019,5592
GLORIA D'OESTE,2019,3008
GUARANTA DO NORTE,2019,36130
GUIRATINGA,2019,15245
INDIAVAI,2019,2779
IPIRANGA DO NORTE,2019,7920
ITANHANGA,2019,6885
ITAUBA,2019,3704
ITIQUIRA,2019,13552
JACIARA,2019,27807
JANGADA,2019,8451
JAURU,2019,8582
JUARA,2019,35121
JUINA,2019,41101
JURUENA,2019,16335
JUSCIMEIRA,2019,11176
LAMBARI D'OESTE,2019,6186
LUCAS DO RIO VERDE,2019,67620
LUCIARA,2019,2058
MARCELANDIA,2019,10301
MATUPA,2019,16793
MIRASSOL D'OESTE,2019,27941
NOBRES,2019,15334
NORTELANDIA,2019,5923
NOSSA SENHORA DO LIVRAMENTO,2019,13104
NOVA BANDEIRANTES,2019,15685
NOVA BRASILANDIA,2019,3805
NOVA CANAA DO NORTE,2019,12831
NOVA GUARITA,2019,4464
NOVA LACERDA,2019,6751
NOVA MARILANDIA,2019,3304
NOVA MARINGA,2019,8850
NOVA MONTE VERDE,2019,9277
NOVA MUTUM,2019,46813
NOVA NAZARE,2019,3932
NOVA OLIMPIA,2019,20563
NOVA SANTA HELENA,2019,3737
NOVA UBIRATA,2019,12298
NOVA XAVANTINA,2019,20944
NOVO HORIZONTE DO NORTE,2019,4051
NOVO MUNDO,2019,9363
NOVO SANTO ANTONIO,2019,2705
NOVO SAO JOAQUIM,2019,4938
PARANAITA,2019,11244
PARANATINGA,2019,22861
PEDRA PRETA,2019,17446
PEIXOTO DE AZEVEDO,2019,35338
PLANALTO DA SERRA,2019,2649
POCONE,2019,33315
PONTAL DO ARAGUAIA,2019,6843
PONTE BRANCA,2019,1550
PONTES E LACERDA,2019,45774
PORTO ALEGRE DO NORTE,2019,12685
PORTO DOS GAUCHOS,2019,5363
PORTO ESPERIDIAO,2019,12097
PORTO ESTRELA,2019,2877
POXOREU,2019,15916
PRIMAVERA DO LESTE,2019,63092
QUERENCIA,2019,17937
RESERVA DO CABACAL,2019,2743
RIBEIRAO CASCALHEIRA,2019,10329
RIBEIRAOZINHO,2019,2422
RIO BRANCO,2019,5150
RONDOLANDIA,2019,4036
RONDONOPOLIS,2019,236042
ROSARIO OESTE,2019,17054
SALTO DO CEU,2019,3295
SANTA CARMEM,2019,4563
SANTA CRUZ DO XINGU,2019,2633
SANTA RITA DO TRIVELATO,2019,3506
SANTA TEREZINHA,2019,8460
SANTO AFONSO,2019,3155
SANTO ANTONIO DO LESTE,2019,5334
SANTO ANTONIO DO LEVERGER,2019,16999
SAO FELIX DO ARAGUAIA,2019,11843
SAO JOSE DO POVO,2019,4450
SAO JOSE DO RIO CLARO,2019,21011
SAO JOSE DOS QUATRO MARCOS,2019,18846
SAO JOSE DO XINGU,2019,5620
SAO PEDRO DA CIPA,2019,4771
SAPEZAL,2019,26688
SERRA NOVA DOURADA,2019,1678
SINOP,2019,146005
SORRISO,2019,92769
TABAPORA,2019,9429
TANGARA DA SERRA,2019,105711
TAPURAH,2019,14046
TERRA NOVA DO NORTE,2019,9473
TESOURO,2019,3824
TORIXOREU,2019,3547
UNIAO DO SUL,2019,3490
VALE DE SAO DOMINGOS,2019,3126
VARZEA GRANDE,2019,287526
VERA,2019,11402
VILA BELA DA SANTISSIMA TRINDADE,2019,16271
VILA RICA,2019,26496
ACORIZAL,2020,5334
AGUA BOA,2020,26204
ALTA FLORESTA,2020,51959
ALTO ARAGUAIA,2020,19385
ALTO BOA VISTA,2020,6936
ALTO GARCAS,2020,12151
ALTO PARAGUAI,2020,11473
ALTO TAQUARI,2020,11133
APIACAS,2020,10283
ARAGUAIANA,2020,3109
ARAGUAINHA,2020,946
ARAPUTANGA,2020,16951
ARENAPOLIS,2020,9502
ARIPUANA,2020,22714
BARAO DE MELGACO,2020,8164
BARRA DO BUGRES,2020,35307
BARRA DO GARCAS,2020,61135
BOM JESUS DO ARAGUAIA,2020,6706
BRASNORTE,2020,20140
CACERES,2020,94861
CAMPINAPOLIS,2020,16919
CAMPO NOVO DO PARECIS,2020,36143
CAMPOS DE JULIO,2020,7070
CAMPO VERDE,2020,45740
CANABRAVA DO NORTE,2020,4728
CANARANA,2020,21842
CARLINDA,2020,10199
CASTANHEIRA,2020,8749
CHAPADA DOS GUIMARAES,2020,19453
CLAUDIA,2020,12245
COCALINHO,2020,5681
COLIDER,2020,33649
COLNIZA,2020,39861
COMODORO,2020,21008
CONFRESA,2020,31510
CONQUISTA D'OESTE,2020,4101
COTRIGUACU,2020,20238
CUIABA,2020,618124
CURVELANDIA,2020,5241
DENISE,2020,9544
DIAMANTINO,2020,22178
DOM AQUINO,2020,8159
FELIZ NATAL,2020,14522
FIGUEIROPOLIS D'OESTE,2020,3452
GAUCHA DO NORTE,2020,7782
GENERAL CARNEIRO,2020,5592
GLORIA D'OESTE,2020,3008
GUARANTA DO NORTE,2020,36130
GUIRATINGA,2020,15245
INDIAVAI,2020,2779
IPIRANGA DO NORTE,2020,7920
ITANHANGA,2020,6885
ITAUBA,2020,3704
ITIQUIRA,2020,13552
JACIARA,2020,27807
JANGADA,2020,8451
JAURU,2020,8582
JUARA,2020,35121
JUINA,2020,41101
JURUENA,2020,16335
JUSCIMEIRA,2020,11176
LAMBARI D'OESTE,2020,6186
LUCAS DO RIO VERDE,2020,67620
LUCIARA,2020,2058
MARCELANDIA,2020,10301
MATUPA,2020,16793
MIRASSOL D'OESTE,2020,27941
NOBRES,2020,15334
NORTELANDIA,2020,5923
NOSSA SENHORA DO LIVRAMENTO,2020,13104
NOVA BANDEIRANTES,2020,15685
NOVA BRASILANDIA,2020,3805
NOVA CANAA DO NORTE,2020,12831
NOVA GUARITA,2020,4464
NOVA LACERDA,2020,6751
NOVA MARILANDIA,2020,3304
NOVA MARINGA,2020,8850
NOVA MONTE VERDE,2020,9277
NOVA MUTUM,2020,46813
NOVA NAZARE,2020,3932
NOVA OLIMPIA,2020,20563
NOVA SANTA HELENA,2020,3737
NOVA UBIRATA,2020,12298
NOVA XAVANTINA,2020,20944
NOVO HORIZONTE DO NORTE,2020,4051
NOVO MUNDO,2020,9363
NOVO SANTO ANTONIO,2020,2705
NOVO SAO JOAQUIM,2020,4938
PARANAITA,2020,11244
PARANATINGA,2020,22861
PEDRA PRETA,2020,17446
PEIXOTO DE AZEVEDO,2020,35338
PLANALTO DA SERRA,2020,2649
POCONE,2020,33315
PONTAL DO ARAGUAIA,2020,6843
PONTE BRANCA,2020,1550
PONTES E LACERDA,2020,45774
PORTO ALEGRE DO NORTE,2020,12685
PORTO DOS GAUCHOS,2020,5363
PORTO ESPERIDIAO,2020,12097
PORTO ESTRELA,2020,2877
POXOREU,2020,15916
PRIMAVERA DO LESTE,2020,63092
QUERENCIA,2020,17937
RESERVA DO CABACAL,2020,2743
RIBEIRAO CASCALHEIRA,2020,10329
RIBEIRAOZINHO,2020,2422
RIO BRANCO,2020,5150
RONDOLANDIA,2020,4036
RONDONOPOLIS,2020,236042
ROSARIO OESTE,2020,17054
SALTO DO CEU,2020,3295
SANTA CARMEM,2020,4563
SANTA CRUZ DO XINGU,2020,2633
SANTA RITA DO TRIVELATO,2020,3506
SANTA TEREZINHA,2020,8460
SANTO AFONSO,2020,3155
SANTO ANTONIO DO LESTE,2020,5334
SANTO ANTONIO DO LEVERGER,2020,16999
SAO FELIX DO ARAGUAIA,2020,11843
SAO JOSE DO POVO,2020,4450
SAO JOSE DO RIO CLARO,2020,21011
SAO JOSE DOS QUATRO MARCOS,2020,18846
SAO JOSE DO XINGU,2020,5620
SAO PEDRO DA CIPA,2020,4771
SAPEZAL,2020,26688
SERRA NOVA DOURADA,2020,1678
SINOP,2020,146005
SORRISO,2020,92769
TABAPORA,2020,9429
TANGARA DA SERRA,2020,105711
TAPURAH,2020,14046
TERRA NOVA DO NORTE,2020,9473
TESOURO,2020,3824
TORIXOREU,2020,3547
UNIAO DO SUL,2020,3490
VALE DE SAO DOMINGOS,2020,3126
VARZEA GRANDE,2020,287526
VERA,2020,11402
VILA BELA DA SANTISSIMA TRINDADE,2020,16271
VILA RICA,2020,26496
ACORIZAL,2021,5309
AGUA BOA,2021,26679
ALTA FLORESTA,2021,52105
ALTO ARAGUAIA,2021,19714
ALTO BOA VISTA,2021,7092
ALTO GARCAS,2021,12323
ALTO PARAGUAI,2021,11587
ALTO TAQUARI,2021,11413
APIACAS,2021,10431
ARAGUAIANA,2021,3064
ARAGUAINHA,2021,909
ARAPUTANGA,2021,17078
ARENAPOLIS,2021,9399
ARIPUANA,2021,23067
BARAO DE MELGACO,2021,8165
BARRA DO BUGRES,2021,35642
BARRA DO GARCAS,2021,61702
BOM JESUS DO ARAGUAIA,2021,6830
BRASNORTE,2021,20571
CACERES,2021,95339
CAMPINAPOLIS,2021,16223
CAMPO NOVO DO PARECIS,2021,36917
CAMPOS DE JULIO,2021,7245
CAMPO VERDE,2021,44033
CANABRAVA DO NORTE,2021,4711
CANARANA,2021,22101
CARLINDA,2021,10094
CASTANHEIRA,2021,8782
CHAPADA DOS GUIMARAES,2021,22521
CLAUDIA,2021,12338
COCALINHO,2021,5716
COLIDER,2021,33855
COLNIZA,2021,41117
COMODORO,2021,21249
CONFRESA,2021,32076
CONQUISTA D'OESTE,2021,4163
COTRIGUACU,2021,20717
CUIABA,2021,623614
CURVELANDIA,2021,5267
DENISE,2021,9626
DIAMANTINO,2021,22311
DOM AQUINO,2021,8087
FELIZ NATAL,2021,14847
FIGUEIROPOLIS D'OESTE,2021,3411
GAUCHA DO NORTE,2021,7913
GENERAL CARNEIRO,2021,5726
GLORIA D'OESTE,2021,2990
GUARANTA DO NORTE,2021,36439
GUIRATINGA,2021,15740
INDIAVAI,2021,2806
IPIRANGA DO NORTE,2021,8182
ITANHANGA,2021,7030
ITAUBA,2021,3609
ITIQUIRA,2021,13727
JACIARA,2021,27696
JANGADA,2021,8420
JAURU,2021,8377
JUARA,2021,35275
JUINA,2021,41190
JURUENA,2021,16811
JUSCIMEIRA,2021,11124
LAMBARI D'OESTE,2021,6246
LUCAS DO RIO VERDE,2021,69671
LUCIARA,2021,2036
MARCELANDIA,2021,10107
MATUPA,2021,17017
MIRASSOL D'OESTE,2021,28135
NOBRES,2021,15332
NORTELANDIA,2021,5858
NOSSA SENHORA DO LIVRAMENTO,2021,13093
NOVA BANDEIRANTES,2021,16052
NOVA BRASILANDIA,2021,3656
NOVA CANAA DO NORTE,2021,12876
NOVA GUARITA,2021,4407
NOVA LACERDA,2021,6861
NOVA MARILANDIA,2021,3332
NOVA MARINGA,2021,9056
NOVA MONTE VERDE,2021,9375
NOVA MUTUM,2021,48222
NOVA NAZARE,2021,4013
NOVA OLIMPIA,2021,20820
NOVA SANTA HELENA,2021,3755
NOVA UBIRATA,2021,12492
NOVA XAVANTINA,2021,21695
NOVO HORIZONTE DO NORTE,2021,4069
NOVO MUNDO,2021,9545
NOVO SANTO ANTONIO,2021,2769
NOVO SAO JOAQUIM,2021,4837
PARANAITA,2021,11291
PARANATINGA,2021,23250
PEDRA PRETA,2021,17547
PEIXOTO DE AZEVEDO,2021,35695
PLANALTO DA SERRA,2021,2637
POCONE,2021,33386
PONTAL DO ARAGUAIA,2021,6972
PONTE BRANCA,2021,1525
PONTES E LACERDA,2021,46105
PORTO ALEGRE DO NORTE,2021,12849
PORTO DOS GAUCHOS,2021,5344
PORTO ESPERIDIAO,2021,12176
PORTO ESTRELA,2021,2794
POXOREU,2021,15936
PRIMAVERA DO LESTE,2021,63876
QUERENCIA,2021,18386
RESERVA DO CABACAL,2021,2754
RIBEIRAO CASCALHEIRA,2021,10450
RIBEIRAOZINHO,2021,2439
RIO BRANCO,2021,5147
RONDOLANDIA,2021,4069
RONDONOPOLIS,2021,239613
ROSARIO OESTE,2021,16999
SALTO DO CEU,2021,3226
SANTA CARMEM,2021,4600
SANTA CRUZ DO XINGU,2021,2700
SANTA RITA DO TRIVELATO,2021,3602
SANTA TEREZINHA,2021,8547
SANTO AFONSO,2021,3164
SANTO ANTONIO DO LESTE,2021,5459
SANTO ANTONIO DO LEVERGER,2021,17188
SAO FELIX DO ARAGUAIA,2021,11934
SAO JOSE DO POVO,2021,4102
SAO JOSE DO RIO CLARO,2021,21351
SAO JOSE DOS QUATRO MARCOS,2021,18788
SAO JOSE DO XINGU,2021,5646
SAO PEDRO DA CIPA,2021,4823
SAPEZAL,2021,27485
SERRA NOVA DOURADA,2021,1705
SINOP,2021,148960
SORRISO,2021,94941
TABAPORA,2021,9357
TANGARA DA SERRA,2021,107631
TAPURAH,2021,14380
TERRA NOVA DO NORTE,2021,9284
TESOURO,2021,3761
TORIXOREU,2021,3487
UNIAO DO SUL,2021,3455
VALE DE SAO DOMINGOS,2021,3124
VARZEA GRANDE,2021,290383
VERA,2021,11731
VILA BELA DA SANTISSIMA TRINDADE,2021,16412
VILA RICA,2021,26946
ACORIZAL,2022,5014
AGUA BOA,2022,29219
ALTA FLORESTA,2022,58613
ALTO ARAGUAIA,2022,17193
ALTO BOA VISTA,2022,5715
ALTO GARCAS,2022,13052
ALTO PARAGUAI,2022,8009
ALTO TAQUARI,2022,10904
APIACAS,2022,8590
ARAGUAIANA,2022,3795
ARAGUAINHA,2022,1010
ARAPUTANGA,2022,14786
ARENAPOLIS,2022,10576
ARIPUANA,2022,24626
BARAO DE MELGACO,2022,7253
BARRA DO BUGRES,2022,29403
BARRA DO GARCAS,2022,69210
BOM JESUS DO ARAGUAIA,2022,7280
BRASNORTE,2022,17004
CACERES,2022,89681
CAMPINAPOLIS,2022,15347
CAMPO NOVO DO PARECIS,2022,45899
CAMPOS DE JULIO,2022,8822
CAMPO VERDE,2022,44585
CANABRAVA DO NORTE,2022,4485
CANARANA,2022,25858
CARLINDA,2022,10332
CASTANHEIRA,2022,7506
CHAPADA DOS GUIMARAES,2022,18990
CLAUDIA,2022,9593
COCALINHO,2022,6220
COLIDER,2022,31370
COLNIZA,2022,25766
COMODORO,2022,18238
CONFRESA,2022,35075
CONQUISTA D'OESTE,2022,3760
COTRIGUACU,2022,11011
CUIABA,2022,650877
CURVELANDIA,2022,4903
DENISE,2022,7014
DIAMANTINO,2022,21941
DOM AQUINO,2022,7872
FELIZ NATAL,2022,10521
FIGUEIROPOLIS D'OESTE,2022,3187
GAUCHA DO NORTE,2022,8642
GENERAL CARNEIRO,2022,6037
GLORIA D'OESTE,2022,2905
GUARANTA DO NORTE,2022,31024
GUIRATINGA,2022,10966
INDIAVAI,2022,2213
IPIRANGA DO NORTE,2022,7815
ITANHANGA,2022,7539
ITAUBA,2022,5020
ITIQUIRA,2022,12236
JACIARA,2022,28569
JANGADA,2022,7426
JAURU,2022,8367
JUARA,2022,34906
JUINA,2022,45869
JURUENA,2022,10213
JUSCIMEIRA,2022,11480
LAMBARI D'OESTE,2022,4790
LUCAS DO RIO VERDE,2022,83798
LUCIARA,2022,2509
MARCELANDIA,2022,11396
MATUPA,2022,20091
MIRASSOL D'OESTE,2022,26785
NOBRES,2022,15492
NORTELANDIA,2022,5956
NOSSA SENHORA DO LIVRAMENTO,2022,12940
NOVA BANDEIRANTES,2022,13635
NOVA BRASILANDIA,2022,3932
NOVA CANAA DO NORTE,2022,11707
NOVA GUARITA,2022,4590
NOVA LACERDA,2022,6670
NOVA MARILANDIA,2022,3529
NOVA MARINGA,2022,5846
NOVA MONTE VERDE,2022,8313
NOVA MUTUM,2022,55839
NOVA NAZARE,2022,4200
NOVA OLIMPIA,2022,16352
NOVA SANTA HELENA,2022,4239
NOVA UBIRATA,2022,11530
NOVA XAVANTINA,2022,24345
NOVO HORIZONTE DO NORTE,2022,3349
NOVO MUNDO,2022,6520
NOVO SANTO ANTONIO,2022,2015
NOVO SAO JOAQUIM,2022,6919
PARANAITA,2022,11671
PARANATINGA,2022,26423
PEDRA PRETA,2022,18066
PEIXOTO DE AZEVEDO,2022,32714
PLANALTO DA SERRA,2022,3166
POCONE,2022,31217
PONTAL DO ARAGUAIA,2022,6932
PONTE BRANCA,2022,2008
PONTES E LACERDA,2022,52018
PORTO ALEGRE DO NORTE,2022,12127
PORTO DOS GAUCHOS,2022,5593
PORTO ESPERIDIAO,2022,10204
PORTO ESTRELA,2022,3224
POXOREU,2022,23283
PRIMAVERA DO LESTE,2022,85146
QUERENCIA,2022,26769
RESERVA DO CABACAL,2022,2122
RIBEIRAO CASCALHEIRA,2022,10089
RIBEIRAOZINHO,2022,2593
RIO BRANCO,2022,4535
RONDOLANDIA,2022,3505
RONDONOPOLIS,2022,244911
ROSARIO OESTE,2022,15453
SALTO DO CEU,2022,3679
SANTA CARMEM,2022,5374
SANTA CRUZ DO XINGU,2022,2661
SANTA RITA DO TRIVELATO,2022,3276
SANTA TEREZINHA,2022,7596
SANTO AFONSO,2022,2519
SANTO ANTONIO DO LESTE,2022,4099
SANTO ANTONIO DO LEVERGER,2022,15246
