epi_year,epi_week,target,municipio,tests,positives,negatives,positivity
2020,7,hepatite_b_hbv,CAMPO VERDE,1,1,0,1.0
2020,7,hepatite_b_hbv,CUIABA,1,1,0,1.0
2020,9,hepatite_b_hbv,SAO PEDRO DA CIPA,1,1,0,1.0
2020,12,hepatite_c_hcv,CACERES,1,0,1,0.0
2020,19,hepatite_b_hbv,SORRISO,1,1,0,1.0
2020,23,hepatite_b_hbv,CUIABA,1,1,0,1.0
2020,23,tuberculose_cultura,CANARANA,1,0,1,0.0
2020,24,hepatite_b_hbv,MARCELANDIA,1,0,1,0.0
2020,24,hepatite_b_hbv,SORRISO,1,0,1,0.0
2020,25,hepatite_b_hbv,SORRISO,1,1,0,1.0
2020,28,hepatite_b_hbv,SORRISO,1,0,1,0.0
2020,28,sars_cov_2,SAPEZAL,1,0,1,0.0
2020,29,hepatite_b_hbv,SORRISO,2,1,0,0.5
2020,30,hepatite_b_hbv,SORRISO,2,2,0,1.0
2020,30,hepatite_c_hcv,VARZEA GRANDE,1,0,1,0.0
2020,32,hepatite_b_hbv,SORRISO,3,2,1,0.6666666666666666
2020,32,sars_cov_2,SAPEZAL,1,0,1,0.0
2020,33,hepatite_b_hbv,CANABRAVA DO NORTE,1,0,1,0.0
2020,33,hepatite_b_hbv,CUIABA,1,0,1,0.0
2020,33,hepatite_b_hbv,NOVA MUTUM,1,1,0,1.0
2020,33,hepatite_b_hbv,SORRISO,2,2,0,1.0
2020,33,hepatite_c_hcv,PARANATINGA,1,0,1,0.0
2020,34,hepatite_b_hbv,CUIABA,2,1,1,0.5
2020,34,hepatite_b_hbv,GLORIA D''OESTE,1,1,0,1.0
2020,34,hepatite_b_hbv,SORRISO,3,3,0,1.0
2020,34,hepatite_c_hcv,SORRISO,1,0,1,0.0
2020,35,hepatite_b_hbv,CUIABA,2,1,1,0.5
2020,35,hepatite_b_hbv,SORRISO,1,1,0,1.0
2020,35,hepatite_c_hcv,NOVA MUTUM,1,0,1,0.0
2020,36,hepatite_b_hbv,CUIABA,1,0,1,0.0
2020,37,hepatite_b_hbv,CUIABA,1,1,0,1.0
2020,37,hepatite_b_hbv,SORRISO,2,1,1,0.5
2020,38,hepatite_b_hbv,GAUCHA DO NORTE,1,0,1,0.0
2020,38,hepatite_b_hbv,SORRISO,3,3,0,1.0
2020,38,hepatite_c_hcv,SORRISO,1,0,1,0.0
2020,39,hepatite_b_hbv,GAUCHA DO NORTE,1,0,1,0.0
