municipio,exames,positivos,notif_join,semanas_com_dado,populacao,notif_sinan,confianca_dado,faixa_confianca,gap_sinan_sem_exame,join_sinan_fraco,interpretacao
*EM BRANCO,0.0,,0.0,0.0,,59.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ACORIZAL,0.0,,0.0,0.0,,2.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
AGUA BOA,0.0,,0.0,0.0,,29.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ALTA FLORESTA,0.0,,0.0,0.0,,53.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ALTO ARAGUAIA,0.0,,0.0,0.0,,8.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ALTO BOA VISTA,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ALTO GARCAS,0.0,,0.0,0.0,,11.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ALTO TAQUARI,0.0,,0.0,0.0,,19.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
APIACAS,0.0,,0.0,0.0,,10.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ARAGUAIANA,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ARAGUAINHA,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ARENAPOLIS,0.0,,0.0,0.0,,12.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ARIPUANA,0.0,,0.0,0.0,,7.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
BARAO DE MELGACO,0.0,,0.0,0.0,,4.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
BARRA DO GARCAS,0.0,,0.0,0.0,,177.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
BOM JESUS DO ARAGUAIA,0.0,,0.0,0.0,,5.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CAMPINAPOLIS,0.0,,0.0,0.0,,12.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CANABRAVA DO NORTE,0.0,,0.0,0.0,,19.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CANARANA,0.0,,0.0,0.0,,22.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CASTANHEIRA,0.0,,0.0,0.0,,9.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CHAPADA DOS GUIMARAES,0.0,,0.0,0.0,,21.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CLAUDIA,0.0,,0.0,0.0,,19.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
COCALINHO,0.0,,0.0,0.0,,5.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
COLIDER,0.0,,0.0,0.0,,88.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
COLNIZA,0.0,,0.0,0.0,,42.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
COMODORO,0.0,,0.0,0.0,,8.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CONFRESA,0.0,,0.0,0.0,,42.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CONQUISTA D OESTE,0.0,,0.0,0.0,,6.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
COTRIGUACU,0.0,,0.0,0.0,,8.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
CURVELANDIA,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
