se,municipio,zona_canal,excesso_lab_0_1,positividade_anomala_0_1,lacuna_sinan_0_1,internacoes_graves_0_1,n_componentes_validos,score,exames,positivos,n_exames_marcador,rotulo,formula
2026-SE36,SINOP,sucesso,0,1,1,sem dado,3,0.5,39,1,77,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,CUIABA,sucesso,0,1,1,0.26,4,0.4657,153,4,453,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,TANGARA DA SERRA,sucesso,0,1,1,0.24,4,0.4629,43,0,122,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,VARZEA GRANDE,sucesso,0,0.5814,1,0.18,4,0.3347,100,0,74,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,SORRISO,sucesso,0,sem dado,1,sem dado,2,0.25,38,1,10,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,LUCAS DO RIO VERDE,sucesso,0,sem dado,1,sem dado,2,0.25,41,0,7,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,ARIPUANA,sucesso,0,sem dado,1,sem dado,2,0.25,7,0,4,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,COLNIZA,sucesso,0,sem dado,1,sem dado,2,0.25,7,0,3,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,CACERES,sucesso,0,sem dado,1,sem dado,2,0.25,54,0,0,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,CAMPO NOVO DO PARECIS,sucesso,0,sem dado,1,sem dado,2,0.25,0,0,0,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,COLIDER,sucesso,0,sem dado,1,sem dado,2,0.25,0,0,0,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,RONDONOPOLIS,sucesso,0,sem dado,1,sem dado,2,0.25,0,0,0,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,PRIMAVERA DO LESTE,sucesso,0,sem dado,sem dado,sem dado,1,0.0,0,0,0,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,PONTES E LACERDA,,sem dado,1,1,0.24,3,0.81,6,1,12,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
2026-SE36,JUINA,,sem dado,sem dado,1,0.2,2,0.6,49,0,2,proposta para homologação,score = (3*excesso_lab + 2*pos_marcador_alerta + 1*lacuna_sinan + 1*internacoes) / pesos válidos; ausente≠0; excesso=zona canal; n_marcador≥5
