epi_year,epi_week,ano,target,municipio,obitos_sim
1,1,1,dengue,ALTA FLORESTA,1
1,1,1,dengue,ARENAPOLIS,1
1,1,1,dengue,BARRA DO BUGRES,1
1,1,1,dengue,CACERES,6
1,1,1,dengue,CAMPO NOVO DO PARECIS,2
1,1,1,dengue,CAMPO VERDE,2
1,1,1,dengue,CANARANA,1
1,1,1,dengue,CARLINDA,1
1,1,1,dengue,COLIDER,1
1,1,1,dengue,COLNIZA,2
1,1,1,dengue,CONFRESA,1
1,1,1,dengue,CUIABA,7
1,1,1,dengue,DIAMANTINO,2
1,1,1,dengue,JACIARA,1
1,1,1,dengue,JUARA,1
1,1,1,dengue,JUINA,1
1,1,1,dengue,MARCELANDIA,1
1,1,1,dengue,NOVA CANAA DO NORTE,1
1,1,1,dengue,NOVA MUTUM,1
1,1,1,dengue,NOVA SANTA HELENA,1
1,1,1,dengue,NOVO SAO JOAQUIM,1
1,1,1,dengue,PEDRA PRETA,1
1,1,1,dengue,POCONE,1
1,1,1,dengue,PONTES E LACERDA,2
1,1,1,dengue,PRIMAVERA DO LESTE,1
1,1,1,dengue,RONDONOPOLIS,8
1,1,1,dengue,ROSARIO OESTE,1
1,1,1,dengue,SANTA CARMEM,2
1,1,1,dengue,SAO JOSE DO RIO CLARO,1
1,1,1,dengue,SINOP,9
1,1,1,dengue,SORRISO,1
1,1,1,dengue,UNIAO DO SUL,1
1,1,1,dengue,VARZEA GRANDE,7
1,1,1,dengue,VILA RICA,1
1,1,1,febre_amarela,CAMPO GRANDE,1
1,1,1,hepatite_a,ALTA FLORESTA,1
1,1,1,hepatite_a,BARAO DE MELGACO,1
1,1,1,hepatite_a,CAMPO VERDE,1
1,1,1,hepatite_a,CHAPADA DOS GUIMARAES,1
1,1,1,hepatite_a,COLNIZA,1
1,1,1,hepatite_a,CUIABA,5
1,1,1,hepatite_a,JUINA,2
1,1,1,hepatite_a,NOVA BRASILANDIA,1
1,1,1,hepatite_a,NOVA OLIMPIA,1
1,1,1,hepatite_a,PEIXOTO DE AZEVEDO,1
1,1,1,hepatite_a,POCONE,2
1,1,1,hepatite_a,ROSARIO OESTE,1
1,1,1,hepatite_a,SINOP,1
1,1,1,hepatite_a,SORRISO,2
1,1,1,hepatite_a,VARZEA GRANDE,4
1,1,1,hepatite_c_hcv,CACERES,1
1,1,1,hepatite_c_hcv,CUIABA,1
1,1,1,hepatite_c_hcv,LUCAS DO RIO VERDE,1
1,1,1,hepatite_c_hcv,NITEROI,1
1,1,1,hepatite_c_hcv,PONTES E LACERDA,1
1,1,1,hepatite_c_hcv,VARZEA GRANDE,2
1,1,1,leptospirose,CACERES,1
1,1,1,leptospirose,PONTA PORA,1
1,1,1,leptospirose,RONDONOPOLIS,1
1,1,1,leptospirose,SANTO ANTONIO DO LEVERGER,1
1,1,1,meningite,*IGNORADO,1
1,1,1,meningite,ALTA FLORESTA,1
1,1,1,meningite,ALTAMIRA,1
1,1,1,meningite,ALTO ARAGUAIA,1
1,1,1,meningite,ARENAPOLIS,1
1,1,1,meningite,BARRA DO BUGRES,1
1,1,1,meningite,BARRA DO GARCAS,2
1,1,1,meningite,CACERES,4
1,1,1,meningite,CAMPO VERDE,1
1,1,1,meningite,CANARANA,1
1,1,1,meningite,CHAPADA DOS GUIMARAES,1
1,1,1,meningite,COLIDER,1
1,1,1,meningite,CUIABA,14
1,1,1,meningite,GENERAL CARNEIRO,2
1,1,1,meningite,GLORIA D OESTE,1
1,1,1,meningite,ITAUBA,2
1,1,1,meningite,JANGADA,1
1,1,1,meningite,JUARA,1
1,1,1,meningite,JUSCIMEIRA,1
1,1,1,meningite,LUCAS DO RIO VERDE,2
1,1,1,meningite,NOBRES,1
1,1,1,meningite,NOVA BRASILANDIA,1
1,1,1,meningite,NOVA OLIMPIA,1
1,1,1,meningite,NOVO SAO JOAQUIM,1
1,1,1,meningite,PARANATINGA,1
1,1,1,meningite,POCONE,1
1,1,1,meningite,PONTES E LACERDA,2
1,1,1,meningite,PORTO ALEGRE DO NORTE,1
1,1,1,meningite,PORTO DOS GAUCHOS,2
1,1,1,meningite,POXOREO,1
1,1,1,meningite,PRIMAVERA DO LESTE,1
1,1,1,meningite,RIBEIRAO CASCALHEIRA,1
1,1,1,meningite,RONDONOPOLIS,6
1,1,1,meningite,ROSARIO OESTE,1
1,1,1,meningite,SANTO ANTONIO DO LEVERGER,2
1,1,1,meningite,SAO JOSE DO RIO CLARO,1
1,1,1,meningite,SINOP,1
1,1,1,meningite,SORRISO,2
1,1,1,meningite,TAPURAH,1
1,1,1,meningite,VARZEA GRANDE,9
1,1,1,meningite,VERA,1
1,1,1,meningite,VILHENA,2
1,1,1,outros,,113
1,1,1,outros,*EM BRANCO,5
1,1,1,outros,*IGNORADO,45
1,1,1,outros,ABADIA DE GOIAS,1
1,1,1,outros,ACAILANDIA,1
1,1,1,outros,ACORIZAL,80
1,1,1,outros,ACREUNA,1
1,1,1,outros,ADAMANTINA,1
1,1,1,outros,AGUA BOA,235
1,1,1,outros,AGUAS LINDAS DE GOIAS,1
1,1,1,outros,AJURICABA,1
1,1,1,outros,ALTA FLORESTA,805
1,1,1,outros,ALTAMIRA,20
1,1,1,outros,ALTO ALEGRE DO MARANHAO,1
1,1,1,outros,ALTO ALEGRE DO PARECIS,1
1,1,1,outros,ALTO ALEGRE DOS PARECIS,1
1,1,1,outros,ALTO ARAGUAIA,212
1,1,1,outros,ALTO BOA VISTA,55
1,1,1,outros,ALTO GARCAS,133
1,1,1,outros,ALTO PARAGUAI,132
1,1,1,outros,ALTO PARAISO,3
1,1,1,outros,ALTO TAQUARI,84
1,1,1,outros,ALVORADA D OESTE,2
1,1,1,outros,ANAPOLIS,5
1,1,1,outros,APARECIDA DE GOIANIA,2
1,1,1,outros,APARECIDA DO TABOADO,1
1,1,1,outros,APIACAS,90
1,1,1,outros,AQUIDAUANA,1
1,1,1,outros,ARACATU,1
1,1,1,outros,ARACATUBA,2
1,1,1,outros,ARAGARCAS,59
1,1,1,outros,ARAGUAIANA,42
1,1,1,outros,ARAGUAINHA,12
1,1,1,outros,ARAME,1
1,1,1,outros,ARAPONGAS,2
1,1,1,outros,ARAPUTANGA,207
1,1,1,outros,ARAXA,1
1,1,1,outros,ARCOVERDE,1
1,1,1,outros,ARENAPOLIS,186
1,1,1,outros,ARENOPOLIS,1
1,1,1,outros,ARIPUANA,229
1,1,1,outros,ARIQUEMES,7
1,1,1,outros,ARUANA,1
