epi_year,epi_week,ano,target,municipio,notificacoes_sinan,encerrados_sinan
2009,53,2010,dengue,ALEXANIA,1,1
2009,53,2010,dengue,ALTA FLORESTA,4,4
2009,53,2010,dengue,ALTAMIRA,1,1
2009,53,2010,dengue,ALTO GARCAS,1,1
2009,53,2010,dengue,ARAGARCAS,5,5
2009,53,2010,dengue,ARAPUTANGA,5,5
2009,53,2010,dengue,ARIPUANA,1,1
2009,53,2010,dengue,BARRA DO BUGRES,2,2
2009,53,2010,dengue,BARRA DO GARCAS,87,87
2009,53,2010,dengue,CACERES,31,31
2009,53,2010,dengue,CAMPO VERDE,2,2
2009,53,2010,dengue,CAMPOS DE JULIO,1,1
2009,53,2010,dengue,CANARANA,1,1
2009,53,2010,dengue,CARLINDA,3,3
2009,53,2010,dengue,CUIABA,73,73
2009,53,2010,dengue,CURVELANDIA,1,1
2009,53,2010,dengue,DIAMANTINO,1,1
2009,53,2010,dengue,GENERAL CARNEIRO,1,1
2009,53,2010,dengue,GLORIA D OESTE,1,1
2009,53,2010,dengue,GUARANTA DO NORTE,21,21
2009,53,2010,dengue,GUIRATINGA,1,1
2009,53,2010,dengue,IPIRANGA DO NORTE,2,2
2009,53,2010,dengue,ITANHANGA,1,1
2009,53,2010,dengue,ITAUBA,22,22
2009,53,2010,dengue,JAURU,7,7
2009,53,2010,dengue,JUARA,3,3
2009,53,2010,dengue,JUINA,6,6
2009,53,2010,dengue,LUCAS DO RIO VERDE,11,11
2009,53,2010,dengue,MIRASSOL D OESTE,1,1
2009,53,2010,dengue,NOSSA SENHORA DO LIVRAMENTO,7,7
2009,53,2010,dengue,NOVA CANAA DO NORTE,2,2
2009,53,2010,dengue,NOVA XAVANTINA,3,3
2009,53,2010,dengue,PEDRA PRETA,2,2
2009,53,2010,dengue,PEIXOTO DE AZEVEDO,2,2
2009,53,2010,dengue,PONTAL DO ARAGUAIA,6,6
2009,53,2010,dengue,PONTES E LACERDA,1,1
2009,53,2010,dengue,PORTO VELHO,1,1
2009,53,2010,dengue,PRIMAVERA DO LESTE,9,9
2009,53,2010,dengue,RONDONOPOLIS,94,94
2009,53,2010,dengue,ROSARIO OESTE,2,2
2009,53,2010,dengue,SAO JOSE DOS QUATRO MARCOS,3,3
2009,53,2010,dengue,SAO PEDRO DA CIPA,1,1
2009,53,2010,dengue,SAPEZAL,1,1
2009,53,2010,dengue,SINOP,42,42
2009,53,2010,dengue,SORRISO,4,4
2009,53,2010,dengue,TABAPORA,1,1
2009,53,2010,dengue,TANGARA DA SERRA,3,3
2009,53,2010,dengue,VARZEA GRANDE,24,24
2009,53,2010,dengue,VILA BELA DA S TRINDADE,30,30
2009,53,2010,meningite,JUARA,1,1
2009,53,2010,outros,AGUA BOA,1,1
2009,53,2010,outros,ALTA FLORESTA,1,1
2009,53,2010,outros,ALTO TAQUARI,1,1
2009,53,2010,outros,BARRA DO GARCAS,2,2
2009,53,2010,outros,CACERES,1,1
2009,53,2010,outros,CAMPO NOVO DO PARECIS,1,1
2009,53,2010,outros,CAMPO VERDE,1,1
2009,53,2010,outros,CASTANHEIRA,2,2
2009,53,2010,outros,COLIDER,2,2
2009,53,2010,outros,CUIABA,6,6
2009,53,2010,outros,ITAUBA,1,1
2009,53,2010,outros,JACIARA,2,2
2009,53,2010,outros,JUARA,1,1
2009,53,2010,outros,MIRASSOL D OESTE,1,1
2009,53,2010,outros,NOVA BRASILANDIA,1,1
2009,53,2010,outros,NOVA LACERDA,1,1
