fonte,municipio,cid_familia,n
SIH/VW_INTERNACAO,TANGARA DA SERRA,dengue_arbovirose,15
SIH/VW_INTERNACAO,DIAMANTINO,dengue_arbovirose,15
SIH/VW_INTERNACAO,TABAPORA,dengue_arbovirose,13
SIH/VW_INTERNACAO,CUIABA,dengue_arbovirose,12
SIH/VW_INTERNACAO,PONTES E LACERDA,dengue_arbovirose,11
SIH/VW_INTERNACAO,CANARANA,dengue_arbovirose,8
SIH/VW_INTERNACAO,NOVA XAVANTINA,dengue_arbovirose,7
SIH/VW_INTERNACAO,JUARA,dengue_arbovirose,7
SIH/VW_INTERNACAO,COLNIZA,dengue_arbovirose,5
SIH/VW_INTERNACAO,BARRA DO GARCAS,dengue_arbovirose,5
SIH/VW_INTERNACAO,CONFRESA,dengue_arbovirose,5
SIH/VW_INTERNACAO,NOVO SAO JOAQUIM,dengue_arbovirose,4
