CODIGOMUNICIPIO,ANO,PERIODICIDADETIPO,PERIODICIDADEVALOR,CODINDICADOR,DIVIDENDO,DIVISOR,MULTIPLICADOR,VALORINDICADORMUNICIPIO,VALORINDICADORREGIONAL,VALORINDICADORESTADO,REGIONAL,MUNICIPIO,INDICADORNOME,INDICADORGRUPO,CATCHREGIONALESTADO,CATCHIDHESTADO,IDHQUINTIL,VALORINDICADORIDHQUINTIL,PAINELSIG,PAINELCORMUNICIPIO,PAINELLEGENDA1COR,PAINELLEGENDA1TEXTO,PAINELLEGENDA2COR,PAINELLEGENDA2TEXTO,PAINELLEGENDA3COR,PAINELLEGENDA3TEXTO,PAINELLEGENDA4COR,PAINELLEGENDA4TEXTO,PAINELLEGENDA5COR,PAINELLEGENDA5TEXTO
510335,2015,Anual,*Não se aplica,11,36.0,1923.67,0,0.02,0.07,0.41,PORTO ALEGRE DO NORTE,CONFRESA,Razão de exames citopatológicos do colo do útero em mulheres de 25 a 64 anos e a população da mesma faixa etária,Promoção da atenção integral à saúde da mulher e da criança,2.Desfavorável Regional/IDH e Desfavorável Estado,2.Desfavorável Regional/IDH e Desfavorável Estado,Q2,0.31,Sim,,,,,,,,,,,
510335,2015,Anual,*Não se aplica,12,0.0,487.0,100000,0.0,81.9,72.39,PORTO ALEGRE DO NORTE,CONFRESA,Razão de mortalidade materna ,Promoção da atenção integral à saúde da mulher e da criança,4.Favorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,63.26,Sim,,,,,,,,,,,
510335,2015,Anual,*Não se aplica,13,195.0,482.0,100,40.46,39.9,61.21,PORTO ALEGRE DO NORTE,CONFRESA,Proporção de partos cesáreos,Promoção da atenção integral à saúde da mulher e da criança,3.Desfavorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,52.79,Não,,,,,,,,,,,
510335,2015,Anual,*Não se aplica,14,314.0,487.0,100,64.48,62.74,68.5,PORTO ALEGRE DO NORTE,CONFRESA,Proporção de nascidos vivos de mães com 7 ou mais consultas de pré-natal,Promoção da atenção integral à saúde da mulher e da criança,1.Favorável Regional/IDH e Desfavorável Estado,2.Desfavorável Regional/IDH e Desfavorável Estado,Q2,67.06,Sim,,,,,,,,,,,
510335,2015,Anual,*Não se aplica,15,6.0,7031.0,10000,8.53,6.62,25.13,PORTO ALEGRE DO NORTE,CONFRESA,Taxa de internações por acidente vascular cerebral (AVC),Fortalecer as ações de promoção e prevenção à saúde da pessoa idosa e dos portadores de doenças crônicas,3.Desfavorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,21.38,Sim,,,,,,,,,,,
510335,2015,Anual,*Não se aplica,31,1.0,487.0,1000,2.05,4.91,7.03,PORTO ALEGRE DO NORTE,CONFRESA,Coeficiente de mortalidade neonatal precoce,Promoção da atenção integral à saúde da mulher e da criança,4.Favorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,8.44,Sim,,,,,,,,,,,
510629,2015,Anual,*Não se aplica,10,191.0,196.0,100,97.45,93.77,93.27,ALTA FLORESTA,PARANAITA,Proporção de nascidos vivos de mães com 4 ou mais consultas de pré-natal,Promoção da atenção integral à saúde da mulher e da criança,4.Favorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,93.55,Não,,,,,,,,,,,
510629,2015,Anual,*Não se aplica,11,586.0,843.67,0,0.69,0.68,0.41,ALTA FLORESTA,PARANAITA,Razão de exames citopatológicos do colo do útero em mulheres de 25 a 64 anos e a população da mesma faixa etária,Promoção da atenção integral à saúde da mulher e da criança,4.Favorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,0.31,Sim,,,,,,,,,,,
510629,2015,Anual,*Não se aplica,12,0.0,196.0,100000,0.0,124.61,72.39,ALTA FLORESTA,PARANAITA,Razão de mortalidade materna ,Promoção da atenção integral à saúde da mulher e da criança,4.Favorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,63.26,Sim,,,,,,,,,,,
510629,2015,Anual,*Não se aplica,13,134.0,196.0,100,68.37,68.98,61.21,ALTA FLORESTA,PARANAITA,Proporção de partos cesáreos,Promoção da atenção integral à saúde da mulher e da criança,1.Favorável Regional/IDH e Desfavorável Estado,2.Desfavorável Regional/IDH e Desfavorável Estado,Q2,52.79,Não,,,,,,,,,,,
510629,2015,Anual,*Não se aplica,14,164.0,196.0,100,83.67,72.34,68.5,ALTA FLORESTA,PARANAITA,Proporção de nascidos vivos de mães com 7 ou mais consultas de pré-natal,Promoção da atenção integral à saúde da mulher e da criança,4.Favorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,67.06,Sim,,,,,,,,,,,
510629,2015,Anual,*Não se aplica,15,5.0,3789.0,10000,13.2,19.16,25.13,ALTA FLORESTA,PARANAITA,Taxa de internações por acidente vascular cerebral (AVC),Fortalecer as ações de promoção e prevenção à saúde da pessoa idosa e dos portadores de doenças crônicas,4.Favorável Regional/IDH e Favorável Estado,4.Favorável Regional/IDH e Favorável Estado,Q2,21.38,Sim,,,,,,,,,,,
510629,2015,Anual,*Não se aplica,31,2.0,196.0,1000,10.2,9.35,7.03,ALTA FLORESTA,PARANAITA,Coeficiente de mortalidade neonatal precoce,Promoção da atenção integral à saúde da mulher e da criança,2.Desfavorável Regional/IDH e Desfavorável Estado,2.Desfavorável Regional/IDH e Desfavorável Estado,Q2,8.44,Sim,,,,,,,,,,,
510629,2015,Anual,*Não se aplica,109,2.0,196.0,1000,10.2,7.48,4.52,ALTA FLORESTA,PARANAITA,Coeficiente de mortalidade pós-neonatal,Promoção da atenção integral à saúde da mulher e da criança,2.Desfavorável Regional/IDH e Desfavorável Estado,2.Desfavorável Regional/IDH e Desfavorável Estado,Q2,4.22,Sim,,,,,,,,,,,
