TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
dbo,__MigrationHistory,BASE TABLE
dbo,Alvara,BASE TABLE
dbo,AlvaraJson,BASE TABLE
dbo,AnaliseDocumental,BASE TABLE
dbo,AnaliseDocumentalDocumento,BASE TABLE
dbo,AnaliseDocumentalEquipe,BASE TABLE
dbo,AutorPBA,BASE TABLE
dbo,AutorPGRSS,BASE TABLE
dbo,Banco,BASE TABLE
dbo,BlocoNotificacaoReceita,BASE TABLE
dbo,BlocoRemessaERS,BASE TABLE
dbo,BlocoRemessaERSRecebido,BASE TABLE
dbo,CadastroEmail,BASE TABLE
dbo,Cargo,BASE TABLE
dbo,Categoria,BASE TABLE
dbo,CBO,BASE TABLE
dbo,CBOFamilia,BASE TABLE
dbo,CBOGrupo,BASE TABLE
dbo,CBOSubgrupo,BASE TABLE
dbo,CBOSubgrupoPrincipal,BASE TABLE
dbo,ClasseAtividadeProduto,BASE TABLE
dbo,ClasseProduto,BASE TABLE
dbo,CNAE,BASE TABLE
dbo,CNAEObjetoLicenca,BASE TABLE
dbo,CNAETipoInteresse,BASE TABLE
dbo,ConfirmacaoEmail,BASE TABLE
dbo,ConselhoProfissao,BASE TABLE
dbo,Contato,BASE TABLE
dbo,ControlePasta,BASE TABLE
dbo,ControlePastaAnexo,BASE TABLE
dbo,CredenciamentoUdt,BASE TABLE
dbo,CredenciamentoUdtDocumento,BASE TABLE
dbo,Curso,BASE TABLE
dbo,DAR,BASE TABLE
dbo,Endereco,BASE TABLE
dbo,EnderecoLocalidade,BASE TABLE
dbo,EsferaAdministrativa,BASE TABLE
dbo,Estabelecimento,BASE TABLE
dbo,EstabelecimentoCNAESecundario,BASE TABLE
dbo,EstabelecimentoCNPJ,BASE TABLE
dbo,EstabelecimentoImport,BASE TABLE
dbo,EstabelecimentoJucemat,BASE TABLE
dbo,EstabelecimentoProfissional,BASE TABLE
dbo,EstabelecimentoServico,BASE TABLE
dbo,EstabelecimentoTipoInteresse,BASE TABLE
dbo,FaqPergunta,BASE TABLE
dbo,Funcao,BASE TABLE
dbo,Funcionalidade,BASE TABLE
dbo,FuncionalidadePerfil,BASE TABLE
dbo,GrupoProduto,BASE TABLE
dbo,InspecaoSanitaria,BASE TABLE
dbo,InspecaoSanitariaAnaliseDocumental,BASE TABLE
dbo,InspecaoSanitariaAvisoRecebimento,BASE TABLE
dbo,InspecaoSanitariaEquipe,BASE TABLE
dbo,InspecaoSanitariaEstabelecimento,BASE TABLE
dbo,InspecaoSanitariaExecucaoEquipe,BASE TABLE
dbo,InspecaoSanitariaIrregularidade,BASE TABLE
dbo,InspecaoSanitariaIrregularidadeApreensao,BASE TABLE
dbo,InspecaoSanitariaIrregularidadeLegislacao,BASE TABLE
dbo,InspecaoSanitariaIrregularidadeMotivacao,BASE TABLE
dbo,InspecaoSanitariaTermo,BASE TABLE
dbo,InspecaoSanitariaTermoIrregularidade,BASE TABLE
dbo,InstituicaoCurso,BASE TABLE
dbo,Legislacao,BASE TABLE
dbo,LiberacaoAutomatica,BASE TABLE
dbo,Localidade,BASE TABLE
dbo,Log,BASE TABLE
dbo,LogJob,BASE TABLE
dbo,MemorialFotografico,BASE TABLE
dbo,MotivoInativo,BASE TABLE
dbo,MotivoInspecao,BASE TABLE
dbo,MSreplication_objects,BASE TABLE
dbo,MSreplication_subscriptions,BASE TABLE
dbo,MSsavedforeignkeycolumns,BASE TABLE
dbo,MSsavedforeignkeyextendedproperties,BASE TABLE
dbo,MSsavedforeignkeys,BASE TABLE
dbo,MSsnapshotdeliveryprogress,BASE TABLE
dbo,MSsubscription_agents,BASE TABLE
dbo,MunicipioBloqueio,BASE TABLE
dbo,MunicipioSefaz,BASE TABLE
dbo,NaturezaOrganizacao,BASE TABLE
dbo,Notificacao,BASE TABLE
dbo,NotificacaoUsuario,BASE TABLE
dbo,NumeracaoAnvisa,BASE TABLE
dbo,Orgao,BASE TABLE
dbo,OutrosDocumentosProtocolo,BASE TABLE
dbo,Ouvidoria,BASE TABLE
dbo,OuvidoriaDemandante,BASE TABLE
dbo,OuvidoriaHomologacao,BASE TABLE
dbo,OuvidoriaTramite,BASE TABLE
dbo,Parametro,BASE TABLE
dbo,Perfil,BASE TABLE
dbo,Pessoa,BASE TABLE
dbo,PessoaCurso,BASE TABLE
dbo,PessoaDadosComplementares,BASE TABLE
dbo,PGRSS,BASE TABLE
dbo,PGRSSAutor,BASE TABLE
dbo,PGRSSDocumento,BASE TABLE
dbo,PorteEmpresa,BASE TABLE
dbo,ProcessoAdministrativoSanitario,BASE TABLE
dbo,ProcessoAdministrativoSanitarioAndamento,BASE TABLE
