ano,mes,municipio,cid_familia,n_registros,n_procedimentos
2026,6,JUINA,tuberculose,33,33
2026,6,LUCAS DO RIO VERDE,tuberculose,15,15
2026,6,NOVA MUTUM,tuberculose,13,13
2026,6,CLAUDIA,tuberculose,1,1
2026,6,GUARANTA DO NORTE,tuberculose,14,14
2026,6,JUINA,dengue_arbovirose,38,38
2026,6,CAMPO VERDE,tuberculose,9,9
2026,6,SAO FELIX DO ARAGUAIA,tuberculose,9,9
2026,6,BALNEARIO CAMBORIU,dengue_arbovirose,1,1
2026,6,SAPEZAL,hepatite,1,1
2026,6,JACIARA,hepatite,1,1
2026,6,GAUCHA DO NORTE,hepatite,4,4
2026,6,TANGARA DA SERRA,dengue_arbovirose,3,3
2026,6,VARZEA GRANDE,tuberculose,65,65
2026,6,BRASNORTE,tuberculose,2,2
2026,6,TANGARA DA SERRA,hepatite,54,64
2026,6,VILHENA,dengue_arbovirose,3,3
2026,6,PONTES E LACERDA,tuberculose,37,37
2026,6,CHAPADA DOS GUIMARAES,tuberculose,7,7
2026,6,JURUENA,dengue_arbovirose,1,1
2026,6,ALVORADA DOESTE,dengue_arbovirose,1,1
2026,6,CASTANHEIRA,dengue_arbovirose,1,1
2026,6,SAO JOSE DO RIO CLARO,tuberculose,2,2
2026,6,APIACAS,tuberculose,1,1
2026,6,COTRIGUACU,dengue_arbovirose,13,9
2026,6,PORTO DOS GAUCHOS,tuberculose,1,1
2026,6,NOVA MONTE VERDE,hepatite,2,2
2026,6,SORRISO,hepatite,11,11
2026,6,BARRA DO GARCAS,tuberculose,14,14
2026,6,BARRA DO GARCAS,hepatite,5,5
2026,6,ARAPUTANGA,tuberculose,2,2
2026,6,TERRA NOVA DO NORTE,hepatite,1,1
2026,6,NOVO MUNDO,tuberculose,1,1
2026,6,PONTES E LACERDA,dengue_arbovirose,53,72
2026,6,CANARANA,dengue_arbovirose,4,8
2026,6,ROSARIO OESTE,hepatite,1,1
2026,6,NOVA GUARITA,hepatite,2,2
2026,6,TAPURAH,tuberculose,1,1
2026,6,CARLINDA,hepatite,2,2
2026,6,BOA VISTA,tuberculose,1,1
2026,6,NOBRES,tuberculose,3,3
2026,6,VARZEA GRANDE,dengue_arbovirose,81,86
2026,6,CAMPOS DE JULIO,dengue_arbovirose,2,2
2026,6,ROLIM DE MOURA,dengue_arbovirose,1,1
2026,6,TABAPORA,dengue_arbovirose,6,24
2026,6,MIRASSOL D OESTE,tuberculose,1,1
2026,6,FELIZ NATAL,hepatite,1,1
2026,6,PEIXOTO DE AZEVEDO,dengue_arbovirose,32,32
2026,6,SAO JOSE DOS QUATRO MARCOS,hepatite,1,1
2026,6,NOVA XAVANTINA,hepatite,5,5
2026,6,PEIXOTO DE AZEVEDO,tuberculose,4,4
2026,6,ARENAPOLIS,hepatite,1,1
2026,6,TERRA NOVA DO NORTE,dengue_arbovirose,4,7
2026,6,VILHENA,hepatite,1,1
2026,6,510183,hepatite,2,2
2026,6,MATUPA,hepatite,3,3
2026,6,ROSARIO OESTE,tuberculose,1,1
2026,6,SANTO ANTONIO DO LEVERGER,hepatite,1,1
2026,6,ARAGUAIANA,tuberculose,1,1
2026,6,ALTO GARCAS,hepatite,1,1
2026,6,PARANAITA,tuberculose,3,3
2026,6,DOM AQUINO,hepatite,1,1
2026,6,PRIMAVERA DO LESTE,tuberculose,12,12
