epi_year,epi_week,municipio,cid_familia,n_internacoes,dt_min,dt_max
2026,27,NOVA LACERDA,dengue_arbovirose,1,2026-07-03,2026-07-03
2026,21,VARZEA GRANDE,dengue_arbovirose,3,2026-05-20,2026-05-22
2026,29,JUARA,dengue_arbovirose,1,2026-07-16,2026-07-16
2026,25,TABAPORA,dengue_arbovirose,2,2026-06-19,2026-06-20
2026,22,COLNIZA,dengue_arbovirose,1,2026-05-25,2026-05-25
2026,21,CUIABA,tuberculose,1,2026-05-21,2026-05-21
2026,28,TANGARA DA SERRA,dengue_arbovirose,2,2026-07-07,2026-07-08
2026,20,CANARANA,dengue_arbovirose,2,2026-05-16,2026-05-16
2026,21,ITANHANGA,dengue_arbovirose,2,2026-05-21,2026-05-24
2026,25,SAO JOSE DO RIO CLARO,dengue_arbovirose,3,2026-06-15,2026-06-19
2026,20,NOVO SAO JOAQUIM,dengue_arbovirose,1,2026-05-13,2026-05-13
2026,24,DIAMANTINO,dengue_arbovirose,1,2026-06-10,2026-06-10
2026,25,ARAPUTANGA,dengue_arbovirose,1,2026-06-15,2026-06-15
2026,25,BRASNORTE,dengue_arbovirose,1,2026-06-15,2026-06-15
2026,24,SINOP,dengue_arbovirose,1,2026-06-14,2026-06-14
2026,23,BARRA DO BUGRES,dengue_arbovirose,1,2026-06-07,2026-06-07
2026,30,COMODORO,dengue_arbovirose,1,2026-07-21,2026-07-21
2026,20,CAMPO NOVO DO PARECIS,dengue_arbovirose,1,2026-05-15,2026-05-15
2026,25,JACIARA,dengue_arbovirose,1,2026-06-15,2026-06-15
2026,24,JACIARA,tuberculose,1,2026-06-12,2026-06-12
2026,27,BARRA DO BUGRES,dengue_arbovirose,1,2026-07-01,2026-07-01
2026,20,SAPEZAL,dengue_arbovirose,1,2026-05-13,2026-05-13
2026,28,PRIMAVERA DO LESTE,dengue_arbovirose,1,2026-07-09,2026-07-09
2026,21,ARIPUANA,dengue_arbovirose,1,2026-05-20,2026-05-20
2026,30,NOVO SAO JOAQUIM,dengue_arbovirose,1,2026-07-25,2026-07-25
2026,20,CACERES,dengue_arbovirose,1,2026-05-17,2026-05-17
2026,21,PONTES E LACERDA,dengue_arbovirose,2,2026-05-19,2026-05-21
2026,21,CHAPADA DOS GUIMARAES,dengue_arbovirose,1,2026-05-23,2026-05-23
2026,22,BRASNORTE,dengue_arbovirose,1,2026-05-28,2026-05-28
2026,23,PORTO DOS GAUCHOS,dengue_arbovirose,1,2026-06-02,2026-06-02
2026,29,ITANHANGA,dengue_arbovirose,1,2026-07-17,2026-07-17
2026,20,ARAPUTANGA,dengue_arbovirose,1,2026-05-17,2026-05-17
2026,24,VARZEA GRANDE,dengue_arbovirose,2,2026-06-13,2026-06-14
2026,20,CUIABA,dengue_arbovirose,2,2026-05-14,2026-05-14
2026,30,NOVA UBIRATA,dengue_arbovirose,1,2026-07-23,2026-07-23
2026,28,CUIABA,dengue_arbovirose,1,2026-07-07,2026-07-07
2026,27,BRASNORTE,dengue_arbovirose,2,2026-06-30,2026-07-01
2026,25,NOBRES,dengue_arbovirose,1,2026-06-19,2026-06-19
2026,28,MARCELANDIA,dengue_arbovirose,1,2026-07-06,2026-07-06
2026,21,DIAMANTINO,dengue_arbovirose,3,2026-05-20,2026-05-22
2026,30,MATUPA,dengue_arbovirose,1,2026-07-21,2026-07-21
2026,30,PEIXOTO DE AZEVEDO,dengue_arbovirose,1,2026-07-21,2026-07-21
2026,24,VILHENA,dengue_arbovirose,1,2026-06-14,2026-06-14
2026,24,PONTES E LACERDA,tuberculose,1,2026-06-10,2026-06-10
2026,22,SAO JOSE DO RIO CLARO,dengue_arbovirose,1,2026-05-25,2026-05-25
2026,20,NOVA OLIMPIA,dengue_arbovirose,1,2026-05-14,2026-05-14
2026,30,SINOP,dengue_arbovirose,1,2026-07-21,2026-07-21
2026,23,DIAMANTINO,dengue_arbovirose,4,2026-06-02,2026-06-04
2026,26,DIAMANTINO,tuberculose,1,2026-06-22,2026-06-22
2026,29,COMODORO,dengue_arbovirose,2,2026-07-16,2026-07-19
2026,29,SAO JOSE DO RIO CLARO,dengue_arbovirose,1,2026-07-14,2026-07-14
2026,24,RIBEIRAO CASCALHEIRA,dengue_arbovirose,2,2026-06-08,2026-06-08
2026,21,RONDONOPOLIS,tuberculose,1,2026-05-21,2026-05-21
2026,20,VARJAO,dengue_arbovirose,1,2026-05-16,2026-05-16
2026,23,BRASNORTE,dengue_arbovirose,1,2026-06-04,2026-06-04
2026,29,BRASNORTE,dengue_arbovirose,2,2026-07-13,2026-07-14
2026,29,SANTA TEREZINHA,tuberculose,1,2026-07-19,2026-07-19
2026,26,CUIABA,tuberculose,2,2026-06-24,2026-06-24
2026,25,DIAMANTINO,dengue_arbovirose,2,2026-06-16,2026-06-16
2026,29,PARANAITA,hepatite,1,2026-07-14,2026-07-14
2026,22,DIAMANTINO,dengue_arbovirose,1,2026-05-26,2026-05-26
2026,20,TANGARA DA SERRA,tuberculose,1,2026-05-14,2026-05-14
2026,21,CANARANA,dengue_arbovirose,2,2026-05-18,2026-05-22
2026,25,PONTES E LACERDA,dengue_arbovirose,2,2026-06-15,2026-06-17
2026,30,CUIABA,dengue_arbovirose,1,2026-07-23,2026-07-23
2026,29,RIBEIRAO CASCALHEIRA,dengue_arbovirose,1,2026-07-14,2026-07-14
2026,22,PONTES E LACERDA,dengue_arbovirose,2,2026-05-27,2026-05-31
2026,23,VERA,dengue_arbovirose,1,2026-06-05,2026-06-05
2026,23,JUINA,dengue_arbovirose,1,2026-06-07,2026-06-07
2026,23,VARZEA GRANDE,dengue_arbovirose,1,2026-06-05,2026-06-05
2026,24,ITANHANGA,dengue_arbovirose,1,2026-06-09,2026-06-09
2026,25,NOVA MUTUM,dengue_arbovirose,1,2026-06-18,2026-06-18
2026,23,TABAPORA,dengue_arbovirose,5,2026-06-02,2026-06-04
2026,21,RESERVA DO CABACAL,dengue_arbovirose,1,2026-05-18,2026-05-18
2026,20,DIAMANTINO,dengue_arbovirose,1,2026-05-17,2026-05-17
2026,22,NOVA XAVANTINA,dengue_arbovirose,1,2026-05-27,2026-05-27
