epi_year,epi_week,municipio,n_internacoes
2026,19,ALTA FLORESTA,1
2026,19,BARRA DO GARCAS,1
2026,19,COLNIZA,1
2026,19,DIAMANTINO,1
2026,19,JUARA,1
2026,19,NOVO SAO JOAQUIM,1
2026,19,SANTO ANTONIO DO LEVERGER,1
2026,19,SAO JOSE DO RIO CLARO,2
2026,19,TANGARA DA SERRA,2
2026,20,ARAPUTANGA,2
2026,20,BARRA DO GARCAS,1
2026,20,CACERES,1
2026,20,CAMPO NOVO DO PARECIS,2
2026,20,CANARANA,2
2026,20,COLNIZA,2
2026,20,CONFRESA,1
2026,20,CUIABA,2
2026,20,DIAMANTINO,1
2026,20,JACIARA,1
2026,20,NOVA MUTUM,1
2026,20,NOVA OLIMPIA,1
2026,20,NOVA XAVANTINA,1
2026,20,NOVO SAO JOAQUIM,1
2026,20,PONTES E LACERDA,3
2026,20,SANTA HELENA DE GOIAS,1
2026,20,TABAPORA,1
2026,20,TANGARA DA SERRA,2
2026,20,TERRA NOVA DO NORTE,1
2026,20,TORIXOREU,1
2026,20,VARJAO,1
2026,21,ARIPUANA,1
2026,21,BARRA DO GARCAS,2
2026,21,CANARANA,2
2026,21,CUIABA,3
2026,21,DIAMANTINO,3
2026,21,ITANHANGA,2
2026,21,NOVO SAO JOAQUIM,1
2026,21,PONTES E LACERDA,1
2026,21,RESERVA DO CABACAL,1
2026,21,SANTA TEREZINHA,1
2026,21,SAO JOSE DOS QUATRO MARCOS,1
2026,21,TABAPORA,2
2026,22,ARAPUTANGA,2
2026,22,BARRA DO GARCAS,1
2026,22,BRASNORTE,1
2026,22,CACERES,2
2026,22,CAMPOS DE JULIO,4
2026,22,COLNIZA,1
2026,22,CONFRESA,3
2026,22,CUIABA,1
2026,22,DIAMANTINO,1
2026,22,JUARA,1
2026,22,NOVA XAVANTINA,1
2026,22,NOVO MUNDO,1
2026,22,PONTES E LACERDA,2
2026,22,SAO JOSE DO RIO CLARO,1
2026,22,SORRISO,1
2026,22,TABAPORA,1
2026,22,TANGARA DA SERRA,3
2026,22,VARZEA GRANDE,1
2026,22,VILA BELA DA S TRINDADE,1
2026,23,ARENAPOLIS,1
2026,23,BRASNORTE,1
2026,23,CACERES,1
2026,23,CANARANA,2
2026,23,CUIABA,1
2026,23,DIAMANTINO,4
2026,23,JUARA,1
2026,23,JUINA,2
2026,23,NOVO SAO JOAQUIM,1
2026,23,PARANAITA,1
2026,23,POCONE,1
2026,23,PONTES E LACERDA,1
2026,23,PORTO DOS GAUCHOS,1
2026,23,TABAPORA,5
2026,23,VARZEA GRANDE,1
2026,23,VERA,1
2026,24,ARAPONGAS,1
2026,24,CANARANA,1
2026,24,DENISE,1
2026,24,DIAMANTINO,1
2026,24,FIGUEIROPOLIS D OESTE,1
2026,24,JUINA,2
2026,24,NOVA XAVANTINA,1
2026,24,PONTES E LACERDA,2
2026,24,SAO JOSE DOS QUATRO MARCOS,1
2026,24,SINOP,1
2026,24,TABAPORA,2
2026,24,TANGARA DA SERRA,4
2026,24,VARZEA GRANDE,2
2026,24,VERA,1
2026,24,VILHENA,1
2026,25,BRASNORTE,1
2026,25,CAMPO NOVO DO PARECIS,2
2026,25,CANARANA,1
2026,25,COMODORO,1
2026,25,CUIABA,3
2026,25,DIAMANTINO,2
2026,25,JUARA,3
2026,25,NOBRES,1
2026,25,PONTES E LACERDA,3
2026,25,TABAPORA,2
2026,25,TANGARA DA SERRA,3
2026,26,DIAMANTINO,1
2026,26,JUINA,1
2026,26,PONTES E LACERDA,1
2026,26,PORTO DOS GAUCHOS,1
2026,26,TANGARA DA SERRA,2
