TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
dbo,VW_AMBULATORIAL_MARCACAO,VIEW
dbo,VW_AMBULATORIAL_MARCACAO_2023,VIEW
dbo,VW_AMBULATORIAL_MARCACAO_2024,VIEW
dbo,VW_AMBULATORIAL_MARCACAO_LAUDOS,VIEW
dbo,VW_AMBULATORIAL_MARCACAO_LAUDOS_NOVO,VIEW
dbo,VW_AMBULATORIAL_PROCEDIMENTOS,VIEW
dbo,VW_AMBULATORIAL_SOLICITACAO,VIEW
dbo,VW_AMBULATORIAL_SOLICITACAO_LAUDOS,VIEW
dbo,VW_AMBULATORIAL_SOLICITACAO_PROCEDIMENTOS,VIEW
dbo,VW_HOSPITALAR,VIEW
dbo,VW_HOSPITALAR_PROCEDIMENTO,VIEW
dbo,VW_HOSPITALAR_SINTETICO,VIEW
dbo,VW_SAMU_FILA_HOSPITALAR,VIEW
dbo,VW_SISREG_SGPH,VIEW
dbo,VW_SOLICITACAO_X_PROCEDIMENTO,VIEW
